candidate_id,parent_id,F1B_accessible_fraction,F1B_topology,all_mandatory_anchors_valid
P25_TJBSV2_S_004127,P25_TRANSFER_V1_RANK1,1.0,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_059496,P25_TRANSFER_V1_RANK1,1.0,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_026704,P25_TRANSFER_V1_RANK1,1.0,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_064036,P25_TRANSFER_V1_RANK1,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P25_TJBSV2_S_038124,P25_TRANSFER_V1_RANK1,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P25_TJBSV2_S_005447,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_034272,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_026962,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_055250,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_002987,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_034830,P25_TRANSFER_V1_RANK1,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P25_TJBSV2_S_036971,P25_TRANSFER_V1_RANK1,0.2857142857142857,STATE_UNRESOLVED,False
P40_TJBSV2_S_031027,P40_TRANSFER_CALIBRATED_GEN2,1.0,CERAMIC_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_029466,P40_TRANSFER_CALIBRATED_GEN2,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P40_TJBSV2_S_023912,P40_TRANSFER_CALIBRATED_GEN2,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P40_TJBSV2_S_038278,P40_TRANSFER_CALIBRATED_GEN2,1.0,WEAK_T_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_043821,P40_TRANSFER_CALIBRATED_GEN2,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P40_TJBSV2_S_001565,P40_TRANSFER_CALIBRATED_GEN2,1.0,ACCESSIBLE_UNCLASSIFIED_COUPLED_CONTROL,True
P40_TJBSV2_S_006687,P40_TRANSFER_CALIBRATED_GEN2,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_054071,P40_TRANSFER_CALIBRATED_GEN2,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_026081,P40_TRANSFER_CALIBRATED_GEN2,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_044474,P40_TRANSFER_CALIBRATED_GEN2,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_038503,P40_TRANSFER_CALIBRATED_GEN2,1.0,DBTT_LIKE_PROVISIONAL_COUPLED_MODEL_RESPONSE_CLASS,True
P40_TJBSV2_S_000589,P40_TRANSFER_CALIBRATED_GEN2,0.2857142857142857,STATE_UNRESOLVED,False
