x,y0,y1
0,5.1311843662915635e-11,2.022694634402715e-40
1,1.3770318219030742e-09,1.3271242333619437e-40
2,1.815969596918876e-10,2.6678769701009864e-40
3,1.7627144188736565e-09,2.144400033463946e-40
4,1.453699383091589e-10,4.061274738521632e-40
5,1.2284999684197828e-09,1.943397781741194e-40
6,1.0047784826383577e-10,3.3850264916808197e-40
7,2.418687472527381e-09,1.666396107805786e-40
8,1.0644640724422061e-10,4.925229104187604e-41
9,1.158582563220989e-09,9.174756467935483e-41
10,1.0523493187974964e-10,3.997908021964864e-40
11,1.9333157297296566e-10,1.3487366347395334e-41
12,1.8674484181246953e-10,3.1584492292668297e-40
13,1.1010001799149904e-09,9.57311058888142e-41
14,1.6061107999121305e-10,1.6557247820941824e-40
15,1.1131078281323425e-09,1.5009868370768846e-40
16,1.9385737459742813e-10,2.486479759705679e-40
17,1.2685745787166525e-09,1.0042300347198977e-40
18,1.4230749911803287e-10,2.6547958489365143e-40
19,1.2404370863805525e-09,1.5265255015892043e-40
20,1.7857360035122838e-10,7.165900969585286e-41
21,1.8897026166087016e-09,1.8761634814228895e-40
22,1.368363200526801e-10,9.660534096824485e-41
23,5.722995410906151e-10,7.16596008686425e-41
24,4.920330809454754e-11,2.2231698665311496e-41
25,3.537650172802387e-10,2.678652079480104e-41
26,1.1073453265453281e-10,1.9100157869805863e-41
27,1.695639184617903e-09,2.146824279807228e-40
28,1.3441336932373815e-10,4.827565169810716e-41
29,1.751629952195799e-10,1.2690553008118635e-41
30,8.050804467529815e-11,1.5446015949203393e-40
31,1.3950511856819503e-09,1.5992458853953407e-40
32,1.3324097380973399e-10,2.6269759143148507e-41
33,1.0593339538900182e-09,1.3969439293469277e-40
34,1.3875123272555356e-10,1.2608292409205067e-40
35,1.906755642266944e-09,1.9055206842504944e-40
36,9.804779210753622e-11,1.3373488951880437e-40
37,1.239413904841058e-09,1.611801519635691e-40
38,1.0136957939721469e-10,1.2872043054537204e-40
39,1.4169927453622222e-09,1.4059752979495011e-40
40,1.0206946399193839e-10,2.8516935551378834e-41
41,5.113349743623985e-10,4.1914413528727644e-41
42,1.5307932699215598e-10,5.376817787458144e-42
43,1.6226522348006256e-09,1.7661265195117832e-40
44,1.4945555903977947e-10,9.395903260894444e-42
45,1.9765593606280163e-09,1.9758028087287056e-40
46,1.9340973267389927e-10,4.4092989261160507e-41
47,1.374132807541173e-09,1.5113634522052098e-40
