theta_deg,target_extension_um,actual_extension_um,physical_path_extension_um,geometry_event_count,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_J_signed_J_per_m2,native_KJ_MPa_sqrt_m,domain_metadata_json,F_over_U_N_per_m2,J_native_over_U2,KJ_native_over_U,wake_width_m,mesh_scale_m,tip_x_m,tip_y_m,mesh_fingerprint,damage_wake_fingerprint
0.0,0.0,0.0,0.0,0,1e-05,2178398.589212021,4.590528129022174e-12,10.8919929460602,888.3352775942302,888.3352775942302,19.87966903942882,"{""J"": 888.3352775942302, ""J_signed"": 888.3352775942302, ""KJ"": 19879669.03942882, ""KJ_MPa"": 19.87966903942882, ""n_active_elements"": 470.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217839858921.20206,8883352775942.3,1987966.9039428819,2.769159822672732e-06,1.384579911336366e-06,0.0005,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac
0.0,5.0,5.0,5.0,1,1e-05,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,873.9172008031421,19.717681129940786,"{""J"": 873.9172008031421, ""J_signed"": 873.9172008031421, ""KJ"": 19717681.129940785, ""KJ_MPa"": 19.717681129940786, ""n_active_elements"": 476.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217828145512.70255,8739172008031.42,1971768.1129940785,2.769159822672732e-06,1.384579911336366e-06,0.000505,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7
0.0,10.0,10.0,10.0,2,1e-05,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,859.9582092774376,19.559572958485173,"{""J"": 859.9582092774376, ""J_signed"": 859.9582092774376, ""KJ"": 19559572.958485175, ""KJ_MPa"": 19.559572958485173, ""n_active_elements"": 475.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217797150315.70273,8599582092774.375,1955957.2958485172,2.769159822672732e-06,1.384579911336366e-06,0.00051,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76
0.0,15.000000000000002,15.000000000000002,15.0,3,1e-05,2177219.658932006,4.5930138279687006e-12,10.886098294660126,846.5336501553685,846.5336501553685,19.406303021591246,"{""J"": 846.5336501553685, ""J_signed"": 846.5336501553685, ""KJ"": 19406303.021591246, ""KJ_MPa"": 19.406303021591246, ""n_active_elements"": 471.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217721965893.2006,8465336501553.684,1940630.3021591243,2.769159822672732e-06,1.384579911336366e-06,0.000515,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,fc7dec6825e4c0c074427981da1bf016d18e7996c6cee082bce03d4acf15cb4d
0.0,20.0,20.0,20.0,4,1e-05,2176565.2449365677,4.594394780153459e-12,10.882826224682944,833.5116253217087,833.5116253217087,19.256463290349636,"{""J"": 833.5116253217087, ""J_signed"": 833.5116253217087, ""KJ"": 19256463.290349636, ""KJ_MPa"": 19.256463290349636, ""n_active_elements"": 469.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217656524493.65677,8335116253217.086,1925646.3290349634,2.769159822672732e-06,1.384579911336366e-06,0.0005200000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,912ad33658abb14b8efcdec9597a706af92c47137ee27fe6c3f1252afb3350e9
0.0,25.0,25.0,25.0,5,1e-05,2175654.9599660463,4.59631705578722e-12,10.878274799830328,820.9729407521619,820.9729407521619,19.111074999005336,"{""J"": 820.9729407521619, ""J_signed"": 820.9729407521619, ""KJ"": 19111074.999005336, ""KJ_MPa"": 19.111074999005336, ""n_active_elements"": 460.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217565495996.6046,8209729407521.617,1911107.4999005334,2.769159822672732e-06,1.384579911336366e-06,0.0005250000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a
0.0,30.000000000000004,30.000000000000004,30.0,6,1e-05,2174504.334696845,4.5987491680002255e-12,10.872521673484313,808.9741580859645,808.9741580859645,18.97090370848322,"{""J"": 808.9741580859645, ""J_signed"": 808.9741580859645, ""KJ"": 18970903.70848322, ""KJ_MPa"": 18.97090370848322, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217450433469.6845,8089741580859.644,1897090.3708483218,2.769159822672732e-06,1.384579911336366e-06,0.0005300000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9
0.0,35.00000000000001,35.00000000000001,35.0,7,1e-05,2172995.117167332,4.601943152562523e-12,10.864975585836767,797.6024676793033,797.6024676793033,18.837095510238377,"{""J"": 797.6024676793033, ""J_signed"": 797.6024676793033, ""KJ"": 18837095.51023838, ""KJ_MPa"": 18.837095510238377, ""n_active_elements"": 459.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.73322,7976024676793.032,1883709.5510238376,2.769159822672732e-06,1.384579911336366e-06,0.0005350000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
0.0,40.0,40.0,40.0,8,1e-05,2172995.117167332,4.601943152562523e-12,10.864975585836767,786.5745946362174,786.5745946362174,18.70641879009914,"{""J"": 786.5745946362174, ""J_signed"": 786.5745946362174, ""KJ"": 18706418.79009914, ""KJ_MPa"": 18.70641879009914, ""n_active_elements"": 458.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217299511716.73322,7865745946362.173,1870641.8790099137,2.769159822672732e-06,1.384579911336366e-06,0.0005400000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2
0.0,45.0,45.0,45.0,9,1e-05,2166652.3559543286,4.615415099943608e-12,10.833261779771734,776.777665868616,776.777665868616,18.589557855096334,"{""J"": 776.777665868616, ""J_signed"": 776.777665868616, ""KJ"": 18589557.855096333, ""KJ_MPa"": 18.589557855096334, ""n_active_elements"": 456.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43283,7767776658686.159,1858955.7855096334,2.769159822672732e-06,1.384579911336366e-06,0.0005450000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f
0.0,50.0,50.0,50.0,10,1e-05,2166652.3559543286,4.615415099943608e-12,10.833261779771734,766.9413133495373,766.9413133495373,18.471482879483357,"{""J"": 766.9413133495373, ""J_signed"": 766.9413133495373, ""KJ"": 18471482.879483357, ""KJ_MPa"": 18.471482879483357, ""n_active_elements"": 456.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43283,7669413133495.371,1847148.2879483355,2.769159822672732e-06,1.384579911336366e-06,0.0005500000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f
0.0,55.0,55.0,55.0,11,1e-05,2149343.1458806465,4.652584218190399e-12,10.746715729403336,758.2857749021307,758.2857749021307,18.366954484788813,"{""J"": 758.2857749021307, ""J_signed"": 758.2857749021307, ""KJ"": 18366954.484788813, ""KJ_MPa"": 18.366954484788813, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214934314588.06464,7582857749021.306,1836695.4484788813,2.769159822672732e-06,1.384579911336366e-06,0.0005550000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,4a2c35556a5add52d3b0d7a393873e9bf1bffea9128d4cafb86a3eea8e36c7d1
0.0,60.00000000000001,60.00000000000001,60.0,12,1e-05,2149343.1458806465,4.652584218190399e-12,10.746715729403336,749.835994142684,749.835994142684,18.264333863884236,"{""J"": 749.835994142684, ""J_signed"": 749.835994142684, ""KJ"": 18264333.863884237, ""KJ_MPa"": 18.264333863884236, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214934314588.06464,7498359941426.838,1826433.3863884234,2.769159822672732e-06,1.384579911336366e-06,0.0005600000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,4a2c35556a5add52d3b0d7a393873e9bf1bffea9128d4cafb86a3eea8e36c7d1
0.0,65.00000000000001,65.00000000000001,65.0,13,1e-05,2143096.2878620015,4.666145920105258e-12,10.715481439310096,741.2315221410339,741.2315221410339,18.159238616557012,"{""J"": 741.2315221410339, ""J_signed"": 741.2315221410339, ""KJ"": 18159238.616557013, ""KJ_MPa"": 18.159238616557012, ""n_active_elements"": 454.0, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.20013,7412315221410.338,1815923.861655701,2.769159822672732e-06,1.384579911336366e-06,0.0005650000000000002,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387
