backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,45.0,0.0,0.0,1.0,1e-05,0.30576943405276896,0.002002969761115961,-42106677.16344543,-275823.5183340734,275414560.6076424,21942580.345864933,275414560.6076424,-0.15288471702638448,-0.0010014848805579804,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,2.0,1e-05,0.02922376071963689,0.0025019894253789964,5902216.777363455,-505317.7140659722,403932733.6400933,-47668594.320617594,403932733.6400933,0.014611880359818445,-0.0012509947126894982,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,4.0,1e-05,0.1376657330264952,0.0028620733956854776,54851020.00196623,-1140353.8238787835,796872522.9743204,-3472354.8602177994,796872522.9743204,0.0688328665132476,-0.0014310366978427388,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,8.0,1e-05,0.11307380549621408,0.00500631719352245,55809535.497098766,-2470954.5760444216,987134646.2990913,6111439.198252211,987134646.2990913,0.05653690274810704,-0.002503158596761225,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,12.0,1e-05,0.053157850948237426,0.006215636461578565,-32116948.51654773,-3755367.6958928076,1208361434.6193821,24465865.90191582,1208361434.6193821,-0.026578925474118713,-0.0031078182307892827,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,25.0,1e-05,0.06765141379929765,0.008944546367866306,-48401479.4219851,-6399412.113509552,1430908142.3066313,35381456.15549208,1430908142.3066313,-0.033825706899648825,-0.004472273183933153,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,0.0,0.0,50.0,1e-05,0.18731580051087993,0.013471926108799898,103195794.14032398,-7421937.229030607,1101837579.7329497,155267641.51207265,1101837579.7329497,0.09365790025543996,-0.006735963054399949,True,00902c3b2525f15a5994a86e87996a01ccf37c5aabf7f8fbb491f3051d1a044e,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,1.0,1e-05,0.21340837573194504,0.0014095155819683282,-268073972.0411327,-1770569.8729778465,2512309754.682274,2512308255.3862276,2512309754.682274,-0.10670418786597252,-0.0007047577909841641,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,2.0,1e-05,0.24653764422655597,0.0013308178307232378,373332495.29323846,-2015260.3594608526,3028604385.86948,3028172870.131476,3028604385.86948,0.12326882211327798,-0.0006654089153616189,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,4.0,1e-05,0.5912346421631164,0.004437140759616257,-397855472.7277795,-2985854.698936573,1345846282.8638337,91042911.42510453,1345846282.8638337,-0.2956173210815582,-0.0022185703798081285,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,8.0,1e-05,0.3747415129341473,0.00564208440342025,-249360106.24656793,-3754349.9124854403,1330837911.6801376,-28546184.29828244,1330837911.6801376,-0.18737075646707366,-0.002821042201710125,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,12.0,1e-05,0.24477083080282294,0.008173485098760041,162890794.05429304,-5439314.290682221,1330965732.4774208,-43763252.390654325,1330965732.4774208,0.12238541540141147,-0.004086742549380021,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,5.0,5.0,25.0,1e-05,0.07177626250998918,0.012198032974937214,55758760.36383371,-9475934.992644802,1553682468.659432,970040.0942838838,1553682468.659432,0.03588813125499459,-0.006099016487468607,True,e3239399fe9db3c3bbeb718da20c3e708b81cc25f1c827c18e07d4316d2277b0,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,9e884fb0b0845da621d2612bdf1042e481b8df49
