case_id,material_class,temperature_K,theta_deg,rate_tag,seed,row_start,row_stop_exclusive,accepted_row_count,numerical_event_count,physical_avalanche_count,onset_marker_count,initial_projected_crack_length_m,initial_projected_crack_length_explicit,duplicate_extension_row_count,raw_steps_relative_path,raw_steps_sha256,observer_archive_present,observer_record_count,observer_manifest_schema,full_local_tensor_archived
canonical_theta0_rate__peak__T0300K__theta0__rate0p01x__seed3621,Peak,300.0,0.0,rate0p01x,3621,0,403,403,207,1,1,0.0005,True,210,canonical_theta0_rate__peak__T0300K__theta0__rate0p01x__seed3621/steps_0300K.csv,01461e4ffbf8a7e19f6af3090fe09c3afbcbe3526dbb5549537a187d3e033aad,True,403,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0600K__theta0__rate0p01x__seed4630,Peak,600.0,0.0,rate0p01x,4630,403,677,274,194,1,1,0.0005,True,81,canonical_theta0_rate__peak__T0600K__theta0__rate0p01x__seed4630/steps_0600K.csv,3b4b144490e4b3ac20b0d3c1e598e1df73ed98d717e557a2b29e3350cbaba9d9,True,274,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0800K__theta0__rate0p01x__seed5639,Peak,800.0,0.0,rate0p01x,5639,677,1036,359,196,1,1,0.0005,True,163,canonical_theta0_rate__peak__T0800K__theta0__rate0p01x__seed5639/steps_0800K.csv,699c0a8c2053c472f52ee317c8b79d370bc36a6e7231d16ecd60c134b6b09975,True,359,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0900K__theta0__rate0p01x__seed6648,Peak,900.0,0.0,rate0p01x,6648,1036,1380,344,180,1,1,0.0005,True,164,canonical_theta0_rate__peak__T0900K__theta0__rate0p01x__seed6648/steps_0900K.csv,cf0417488d2f1a8b8ee80762f957bcb7676f632d5b2bfb0cc4cf24edff1f6840,True,344,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T0950K__theta0__rate0p01x__seed7657,Peak,950.0,0.0,rate0p01x,7657,1380,1773,393,214,1,1,0.0005,True,179,canonical_theta0_rate__peak__T0950K__theta0__rate0p01x__seed7657/steps_0950K.csv,8c72a0ecf1c7fb66984e566c8832c660bae8b01be8eab65921c84e2c0e495f5b,True,393,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1000K__theta0__rate0p01x__seed8666,Peak,1000.0,0.0,rate0p01x,8666,1773,2177,404,208,1,1,0.0005,True,196,canonical_theta0_rate__peak__T1000K__theta0__rate0p01x__seed8666/steps_1000K.csv,36fbafe572a5413fba2930313782f310704a171ad0c9ee09c8e94b8494d7bd8b,True,404,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1050K__theta0__rate0p01x__seed9675,Peak,1050.0,0.0,rate0p01x,9675,2177,2635,458,225,1,1,0.0005,True,233,canonical_theta0_rate__peak__T1050K__theta0__rate0p01x__seed9675/steps_1050K.csv,4fdb71f846b79025709c9838bd5a54f3bb7a7b190466e8ac71734cbdba06dfb7,True,458,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1100K__theta0__rate0p01x__seed10684,Peak,1100.0,0.0,rate0p01x,10684,2635,3090,455,196,1,1,0.0005,True,260,canonical_theta0_rate__peak__T1100K__theta0__rate0p01x__seed10684/steps_1100K.csv,18f7cdfc09e4a04a438c23d70fe00e4027c38c53d023cf36a54e0d953b54278c,True,455,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1150K__theta0__rate0p01x__seed11693,Peak,1150.0,0.0,rate0p01x,11693,3090,3571,481,211,1,1,0.0005,True,270,canonical_theta0_rate__peak__T1150K__theta0__rate0p01x__seed11693/steps_1150K.csv,cc69cf66d88a29140c071180d99807b285f6debe5f2cdc20e1a02cfdc686ddfe,True,481,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1200K__theta0__rate0p01x__seed12702,Peak,1200.0,0.0,rate0p01x,12702,3571,4017,446,183,1,1,0.0005,True,263,canonical_theta0_rate__peak__T1200K__theta0__rate0p01x__seed12702/steps_1200K.csv,b7ad5e6f33c8ec0a135e86c2617aca3308bd18bd263926efe8afcb640a8a63d1,True,446,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1250K__theta0__rate0p01x__seed13711,Peak,1250.0,0.0,rate0p01x,13711,4017,4495,478,209,1,1,0.0005,True,269,canonical_theta0_rate__peak__T1250K__theta0__rate0p01x__seed13711/steps_1250K.csv,8acfe7823bf9433c215e2655da1e4e0bd7f278508df088e7c0b73f4843344f80,True,478,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__peak__T1300K__theta0__rate0p01x__seed14720,Peak,1300.0,0.0,rate0p01x,14720,4495,4930,435,174,1,1,0.0005,True,261,canonical_theta0_rate__peak__T1300K__theta0__rate0p01x__seed14720/steps_1300K.csv,64d4976efe6f951c791a8f3613e6f8b713178cdd5b0be8290e46b2fe6c927619,True,435,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0300K__theta0__rate0p01x__seed1003621,DBTT,300.0,0.0,rate0p01x,1003621,4930,5348,418,204,2,2,0.0005,True,225,canonical_theta0_rate__dbtt__T0300K__theta0__rate0p01x__seed1003621/steps_0300K.csv,def32ca0f97a660d340bdde84e70548d7569cdc6dc75401de7c2fce77c3a5fa7,True,418,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0600K__theta0__rate0p01x__seed1004630,DBTT,600.0,0.0,rate0p01x,1004630,5348,5748,400,190,2,2,0.0005,True,220,canonical_theta0_rate__dbtt__T0600K__theta0__rate0p01x__seed1004630/steps_0600K.csv,b88c128f15fcdb41750ba8b874bd6a9a6c14521f367a16a60bd7d2a537e2d4c1,True,400,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0800K__theta0__rate0p01x__seed1005639,DBTT,800.0,0.0,rate0p01x,1005639,5748,6102,354,230,1,1,0.0005,True,129,canonical_theta0_rate__dbtt__T0800K__theta0__rate0p01x__seed1005639/steps_0800K.csv,be2f3f0f0a297f85cc667da3ad6a1eb67e126abf3d5fd5db1bf9ffeb8fd3b28b,True,354,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0900K__theta0__rate0p01x__seed1006648,DBTT,900.0,0.0,rate0p01x,1006648,6102,6400,298,197,1,1,0.0005,True,105,canonical_theta0_rate__dbtt__T0900K__theta0__rate0p01x__seed1006648/steps_0900K.csv,4bc1cc6217e668b095c61b27bf78d3b3168149702ef6e2f12d9b9069ae90c2b2,True,298,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T0950K__theta0__rate0p01x__seed1007657,DBTT,950.0,0.0,rate0p01x,1007657,6400,6719,319,204,2,2,0.0005,True,117,canonical_theta0_rate__dbtt__T0950K__theta0__rate0p01x__seed1007657/steps_0950K.csv,f82cd06b5b3d10cedf314986450746ee4a6cd3b779fe8b408d03019ff6039f1a,True,319,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1000K__theta0__rate0p01x__seed1008666,DBTT,1000.0,0.0,rate0p01x,1008666,6719,7199,480,208,2,2,0.0005,True,278,canonical_theta0_rate__dbtt__T1000K__theta0__rate0p01x__seed1008666/steps_1000K.csv,87e25c2fd43c9a21f5fdcb69f5a60ae07010ae31ed1c63067a17f9dffc9ccccb,True,480,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1050K__theta0__rate0p01x__seed1009675,DBTT,1050.0,0.0,rate0p01x,1009675,7199,7663,464,212,1,1,0.0005,True,259,canonical_theta0_rate__dbtt__T1050K__theta0__rate0p01x__seed1009675/steps_1050K.csv,1995c0d9c1f42d2f6a3dde7fbda96bc97e0bef9c97efaf1e83e86dda6b5c0fbe,True,464,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1100K__theta0__rate0p01x__seed1010684,DBTT,1100.0,0.0,rate0p01x,1010684,7663,8083,420,191,1,1,0.0005,True,233,canonical_theta0_rate__dbtt__T1100K__theta0__rate0p01x__seed1010684/steps_1100K.csv,274996ebe9e4edf7641d54e7398338eca2325382244293a6c83085df5a9dc985,True,420,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1150K__theta0__rate0p01x__seed1011693,DBTT,1150.0,0.0,rate0p01x,1011693,8083,8578,495,193,2,2,0.0005,True,310,canonical_theta0_rate__dbtt__T1150K__theta0__rate0p01x__seed1011693/steps_1150K.csv,afaa75b7d68e99eb9021957d3f97f44e7d255d64cba259a314db0c5e4ab34daf,True,495,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1200K__theta0__rate0p01x__seed1012702,DBTT,1200.0,0.0,rate0p01x,1012702,8578,9035,457,189,2,2,0.0005,True,276,canonical_theta0_rate__dbtt__T1200K__theta0__rate0p01x__seed1012702/steps_1200K.csv,a3debdf87edf5a6b17da8a2812fc5ae19274aec98162577ea23f3a455364f928,True,457,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1250K__theta0__rate0p01x__seed1013711,DBTT,1250.0,0.0,rate0p01x,1013711,9035,9428,393,183,2,2,0.0005,True,214,canonical_theta0_rate__dbtt__T1250K__theta0__rate0p01x__seed1013711/steps_1250K.csv,66e21b3c6b200c16dab1ef2ccf5da6bf52195e102a8783aad2a6c0b45b51fab6,True,393,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__dbtt__T1300K__theta0__rate0p01x__seed1014720,DBTT,1300.0,0.0,rate0p01x,1014720,9428,9893,465,193,2,2,0.0005,True,278,canonical_theta0_rate__dbtt__T1300K__theta0__rate0p01x__seed1014720/steps_1300K.csv,7aceec1ec7a997ac0a3310f984289369a40e56a1972c48aa1de266a77c22c1e1,True,465,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0300K__theta0__rate0p01x__seed2003621,weak-T,300.0,0.0,rate0p01x,2003621,9893,10187,294,211,1,1,0.0005,True,85,canonical_theta0_rate__weakt__T0300K__theta0__rate0p01x__seed2003621/steps_0300K.csv,fa8847d633b61e0e345937b9a6fd49e2531a1056ec94a61155c1822ea17c4550,True,294,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0600K__theta0__rate0p01x__seed2004630,weak-T,600.0,0.0,rate0p01x,2004630,10187,10500,313,184,1,1,0.0005,True,134,canonical_theta0_rate__weakt__T0600K__theta0__rate0p01x__seed2004630/steps_0600K.csv,8c83d7660ddbd705ad0c636f47fea72ef90a481f68ce2887e779c948e85319bb,True,313,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0800K__theta0__rate0p01x__seed2005639,weak-T,800.0,0.0,rate0p01x,2005639,10500,10790,290,191,1,1,0.0005,True,101,canonical_theta0_rate__weakt__T0800K__theta0__rate0p01x__seed2005639/steps_0800K.csv,646ade5994bad43204d3c6e5bd9035bcfadd46a8cb65777aa7683b55ecf80743,True,290,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0900K__theta0__rate0p01x__seed2006648,weak-T,900.0,0.0,rate0p01x,2006648,10790,11067,277,188,1,1,0.0005,True,89,canonical_theta0_rate__weakt__T0900K__theta0__rate0p01x__seed2006648/steps_0900K.csv,912ebbe8be2313afb030965c065b22a706735824312ddfbd83c910c7412afa4d,True,277,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T0950K__theta0__rate0p01x__seed2007657,weak-T,950.0,0.0,rate0p01x,2007657,11067,11364,297,210,1,1,0.0005,True,87,canonical_theta0_rate__weakt__T0950K__theta0__rate0p01x__seed2007657/steps_0950K.csv,3ec432119d6ebbe3ba2ec3a2e42ec316ee9ae7402397d2b2947898237e9899dd,True,297,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1000K__theta0__rate0p01x__seed2008666,weak-T,1000.0,0.0,rate0p01x,2008666,11364,11625,261,177,1,1,0.0005,True,84,canonical_theta0_rate__weakt__T1000K__theta0__rate0p01x__seed2008666/steps_1000K.csv,83c22e2517e3b29dbb42273a8c8cde4c20b197d941d2d1a7b63f6a7cca7b653b,True,261,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1050K__theta0__rate0p01x__seed2009675,weak-T,1050.0,0.0,rate0p01x,2009675,11625,11908,283,201,1,1,0.0005,True,82,canonical_theta0_rate__weakt__T1050K__theta0__rate0p01x__seed2009675/steps_1050K.csv,6d593867673e1d6f3954c065e98916a9ed57471015ca807036a9ee2d8e839a6c,True,283,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1100K__theta0__rate0p01x__seed2010684,weak-T,1100.0,0.0,rate0p01x,2010684,11908,12205,297,209,1,1,0.0005,True,89,canonical_theta0_rate__weakt__T1100K__theta0__rate0p01x__seed2010684/steps_1100K.csv,680c5e11b20c36112990b4bdf26c40269f68186e25be27e5848e89aa3af9591b,True,297,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1150K__theta0__rate0p01x__seed2011693,weak-T,1150.0,0.0,rate0p01x,2011693,12205,12520,315,238,1,1,0.0005,True,77,canonical_theta0_rate__weakt__T1150K__theta0__rate0p01x__seed2011693/steps_1150K.csv,1acc815c25c38aab40f1b58e551eefc7dacd8f262a33eb1f258b9fc9cb245c9c,True,315,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1200K__theta0__rate0p01x__seed2012702,weak-T,1200.0,0.0,rate0p01x,2012702,12520,12804,284,205,1,1,0.0005,True,79,canonical_theta0_rate__weakt__T1200K__theta0__rate0p01x__seed2012702/steps_1200K.csv,cdee4fb0dca431750aa207b96aefa5750578ac987e5004f2cb0a5fa796890ca9,True,284,canonical_pf_state_observer_consolidation_v2,False
canonical_theta0_rate__weakt__T1250K__theta0__rate0p01x__seed2013711,weak-T,1250.0,0.0,rate0p01x,2013711,12804,13075,271,199,1,1,0.0005,True,72,canonical_theta0_rate__weakt__T1250K__theta0__rate0p01x__seed2013711/steps_1250K.csv,709b31aead28a4b929356f828408b5384896774e2c327918155f50b1f6b745cb,True,271,canonical_pf_state_observer_consolidation_v2,False
