cumulative_advance_um,mobile,retained,escaped,recovered
5.0,20666.46824767357,922.9410811753736,1.2358115926483775e-10,0.0
10.0,26220.00862016576,1081.2008614519962,3.8915361218253264e-10,0.0
15.0,30615.951820372153,1113.6248359476854,7.311236200491535e-10,0.0
20.0,34449.567005409466,1128.1381535499345,1.298648313955461e-09,0.0
25.0,37922.91923080263,1152.7604963462693,2.004416202531253e-09,0.0
30.0,41141.53536939451,1160.5896740911182,2.586492811665927e-09,0.0
35.0,44166.36776323721,1148.6578354496216,3.3722962339977374e-09,0.0
40.0,47031.46361265101,1163.259670858568,4.318170723841583e-09,0.0
45.0,49776.9715559929,1143.5899958852185,5.18400967992941e-09,0.0
50.0,52409.23764055114,1143.225276174118,6.064400551245605e-09,0.0
55.0,54944.36385155104,1157.9670528082431,6.821100143120681e-09,0.0
60.0,57371.58622147082,1171.2821781021732,7.897941870019828e-09,0.0
65.0,59775.37666785027,1166.2871055243368,8.960231681690609e-09,0.0
70.0,62102.91540545052,1161.9385134582185,9.869726383463537e-09,0.0
75.0,64359.63301419253,1163.267252275794,1.1135743008331453e-08,0.0
80.0,66598.43864682209,1131.4849567289468,1.2685521980152524e-08,0.0
85.0,68753.52806336369,1148.4840404328384,1.4315336485729612e-08,0.0
90.0,70883.85489366691,1125.9968619971214,1.5959702906535066e-08,0.0
95.0,72942.31930714278,1151.1691428258234,1.7647725073025617e-08,0.0
100.0,74996.60675103925,1140.5713572113189,1.9510370222256578e-08,0.0
