case_id,alias,candidate_id,row_sha256,temperature_K,seed
DBTT_V2_300K_theta0,DBTT_V2,P25_TJBSV2_S_002987,8a16415705c47c7708ec35385cde6c9a53bb6b9de6edf98b902a1f40626a9f72,300,3621
DBTT_V2_1200K_theta0,DBTT_V2,P25_TJBSV2_S_002987,8a16415705c47c7708ec35385cde6c9a53bb6b9de6edf98b902a1f40626a9f72,1200,3621
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,P40_TJBSV2_S_038503,be0343fd982eda89f7f7240bf599298a0e07e06eea87570ee34fa9935dabcbfa,300,3621
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,P40_TJBSV2_S_038503,be0343fd982eda89f7f7240bf599298a0e07e06eea87570ee34fa9935dabcbfa,1200,3621
weakT_V2_P25_300K_theta0,weakT_V2_P25,P25_TJBSV2_S_026704,85f8d9d2ddbe1e7c7c0c34589883b886023507089d0fe423c1ce2c4eb60d0041,300,3621
weakT_V2_P25_1200K_theta0,weakT_V2_P25,P25_TJBSV2_S_026704,85f8d9d2ddbe1e7c7c0c34589883b886023507089d0fe423c1ce2c4eb60d0041,1200,3621
weakT_V2_P40_300K_theta0,weakT_V2_P40,P40_TJBSV2_S_038278,98908d7eecb5916a86dc886900b6e4fd687f4d67daa2bd77e4d75ebaef06b3d6,300,3621
weakT_V2_P40_1200K_theta0,weakT_V2_P40,P40_TJBSV2_S_038278,98908d7eecb5916a86dc886900b6e4fd687f4d67daa2bd77e4d75ebaef06b3d6,1200,3621
ceramic_V2_P25_300K_theta0,ceramic_V2_P25,P25_TJBSV2_S_004127,c794af3a2912fa91d587d06ae9177ba87af1da6d30e4ad7310d5f673edf741e3,300,3621
ceramic_V2_P25_1200K_theta0,ceramic_V2_P25,P25_TJBSV2_S_004127,c794af3a2912fa91d587d06ae9177ba87af1da6d30e4ad7310d5f673edf741e3,1200,3621
ceramic_V2_P40_300K_theta0,ceramic_V2_P40,P40_TJBSV2_S_031027,d76e6a011ba83f762b5830c03c75571c851936677d213cfa1fb600a00a286cfa,300,3621
ceramic_V2_P40_1200K_theta0,ceramic_V2_P40,P40_TJBSV2_S_031027,d76e6a011ba83f762b5830c03c75571c851936677d213cfa1fb600a00a286cfa,1200,3621
