case_id,roles,accepted_step,domain_K_J_Pa_sqrt_m,domain_K_J_valid,applied_specimen_K,applied_specimen_K_status,global_G_or_VCCT,global_G_or_VCCT_status
DBTT_V2_300K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_300K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,27,3438046.0956450794,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1031,9722502.365732046,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2126,9224051.550493019,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_1200K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_1200K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,91,28661486.92952353,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,706,53360212.01428919,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,1345,45855941.15189097,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_300K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_300K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,28,5245823.650219776,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1033,13317484.347335601,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_300K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2130,12184098.843705771,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_1200K_theta0,INITIAL_ACCEPTED_STATE,0,,False,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_1200K_theta0,LAST_ACCEPTED_PRE_FIRST_EVENT,199,67595559.09423347,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
DBTT_V2_P40_1200K_theta0,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1222,128779738.2159631,True,,UNAVAILABLE_NO_QUALIFIED_OPERATOR,,UNAVAILABLE_NO_QUALIFIED_ROUTINE
