case_id,alias,temperature_K,package,roles,accepted_step,projected_extension_m,checkpoint_generation,metadata_sha256
DBTT_V2_300K_theta0,DBTT_V2,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,28,2.4335696912706475e-06,132880525c347a964d7f98b8,4a08debcd4804a5aa4f83c592662ca3bf115d99aceb60b5ea977ddebb6445f68
DBTT_V2_300K_theta0,DBTT_V2,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,97e67145e916d1fd7fa4b179,957ccf033b7e6b018fa3bd7b7c68efe497ca46a54688ecc2ec1dc3d81ab40181
DBTT_V2_300K_theta0,DBTT_V2,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,27,0.0,bb7c050431006c088fc913fe,b3f4d51d3d5ad7731168b91754404c8bb237e1933c97c5f9b94e91a0067810ce
DBTT_V2_300K_theta0,DBTT_V2,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,463,0.0002543796503985268,41c0475ed283680e76ee6add,4745321104a912036146a937c5f978eab7f193c784d11343a31f94926bc2b721
DBTT_V2_300K_theta0,DBTT_V2,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1031,0.0005064614852632956,ea7bcfca3a53b75622995e92,4461a01aa5260cc62fa09730af6122b057dcb95299e51300e79efc2650e5064d
DBTT_V2_300K_theta0,DBTT_V2,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1596,0.0007524061539595259,141da09e4633fa44a7b29ca4,687136b95ce8ec87643c57e9bf5b03b9032c51b03138ef0892f628e95d7ebc09
DBTT_V2_300K_theta0,DBTT_V2,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2126,0.0010000106212350874,518ec23772ea212496bc12af,cb4a99667518d508460f2d893e6f33088b2b071f77e0f7c2275e73866f4f33d9
DBTT_V2_1200K_theta0,DBTT_V2,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,92,2.4335696912706475e-06,ad9fa96cf8f42d9acfd4998e,4c9bb6a6ff002e5b83d2b3eeaceb3bfe47330f90ab50f6b603920f015b20fe56
DBTT_V2_1200K_theta0,DBTT_V2,1200,initial,INITIAL_ACCEPTED_STATE,0,0.0,a9327e69f9367667fffdfdd6,4ae12c510097776745f5050d1354ffc3731ab070665737a7671212831cbd70be
DBTT_V2_1200K_theta0,DBTT_V2,1200,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,91,0.0,02702a1aff958da0e88c6d92,77d27c571ba86e272f4ad0edbd7c733ed6f9a735776ebac2f07b9482b6105b09
DBTT_V2_1200K_theta0,DBTT_V2,1200,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,382,0.0002543796503985268,3b8b605f35e70308730c5013,e6f201f238b262c1b5c338a1cb81acd2755d236b8265f8bd3570a7fcafdc944f
DBTT_V2_1200K_theta0,DBTT_V2,1200,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,706,0.0005064614852632956,f8c53beb14595c03806e7c66,a3e7b0d5d6540e5dfc8895fa5f114bb0da318f3866a82492bf5e35b0737e3c34
DBTT_V2_1200K_theta0,DBTT_V2,1200,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1027,0.0007524061539595259,c926802d6d1781746270b9fd,24e8d7d048218d583f9c8ef0f59d0548db6134dc3bf746e8c1359247aa525bd5
DBTT_V2_1200K_theta0,DBTT_V2,1200,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,1345,0.0010000106212350874,8f6d2ffad68235f2ae09e47a,012bb4df3bc9ba89ac39785cdd36a290d67e8404581f93790ffc168997de7970
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,first_post_event,FIRST_ACCEPTED_POST_EVENT,29,2.4335696912706475e-06,51360731c9cf02ac398a6e5b,84038607e3d99150d835d3780a4d23905a312f50d428ac04d8f266799da15fef
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,initial,INITIAL_ACCEPTED_STATE,0,0.0,00f4c6d93620ce7e0f2c2afd,92e66c2a93c234e6fe21c2465a7a74047b63bc03102420e42ddfd4f40a4a397f
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,last_pre_first_event,LAST_ACCEPTED_PRE_FIRST_EVENT,28,0.0,27d0e5d3fbb64f35029dc3cc,04bd89f755cc5280d09405ab1c1693b85fd4dc2fcce463e201e9d372cd81d98c
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,milestone_250um,FIRST_ACCEPTED_AT_OR_BEYOND_250UM,464,0.0002543796503985268,136c6bc901337e1046efa32a,a996ba420f9b2e33f867f275421547c8765014754240aceb4bd63bd1ac8d273c
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,milestone_500um,FIRST_ACCEPTED_AT_OR_BEYOND_500UM,1033,0.0005064614852632956,ec6c464954d8cec022ef6ad3,3d80c42e52dbeeb7eaa1c6c5aa89a571b53bc295c2660c40267fddfaa7ab4b28
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,milestone_750um,FIRST_ACCEPTED_AT_OR_BEYOND_750UM,1597,0.0007524061539595259,d653d17951b49719ef0f254c,b633493a57df04a4b17721402186f4548e9705c368cb9f48308a191c28beec4b
DBTT_V2_P40_300K_theta0,DBTT_V2_P40,300,terminal,FIRST_ACCEPTED_AT_OR_BEYOND_1000UM;TERMINAL_ACCEPTED_STATE,2130,0.0010000106212350874,47393f85a1f9f9a04d688783,0e1237e0d018b4e5cdc7147471e2b50a5fb784d412f889db9331a1bd38e5120e
DBTT_V2_P40_1200K_theta0,DBTT_V2_P40,1200,first_post_event,FIRST_ACCEPTED_POST_EVENT,200,2.4335696912706475e-06,66ad99c686b875d356b07ea8,93d731bc3ff3d7fd1a52876580b0366ddcce2e1b8b1088c6ca7049309ea00271
