accepted_step,alias,case_id,classification,exit_code,finished_unix_s,projected_extension_m,target_reached,temperature_K,terminal_reason,candidate_id,row_sha256,seed,accepted_steps,first_event_K_J_Pa_sqrt_m,first_reload_separated_K_J_Pa_sqrt_m,maximum_K_J_Pa_sqrt_m,terminal_K_J_Pa_sqrt_m,final_path_extension_m,number_crack_events,number_physical_avalanches,final_effective_radius_m,final_mobile_process_zone_count,final_retained_process_zone_count,final_total_rho_mean_m2,final_mobile_spatial_field_mean_m2,final_retained_spatial_field_mean_m2,final_backstress_Pa,final_active_shielding_Pa_sqrt_m,domain_K_J_valid,applied_specimen_K_status,global_G_or_VCCT_status
2126,DBTT_V2,DBTT_V2_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789447780.7031198,0.0010000106212350874,True,300,REACHED_1000UM,P25_TJBSV2_S_002987,8a16415705c47c7708ec35385cde6c9a53bb6b9de6edf98b902a1f40626a9f72,3621,2126,3447465.854570969,3438046.0956450794,12273086.810908157,9224051.550493019,0.0010036252389956364,207,207,1.0324273819734532e-06,105.45988329094615,9.410488527083604e-33,5192915362321.891,0.0,0.0,234206952.71791586,1.3677397466134206e-31,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
1345,DBTT_V2,DBTT_V2_1200K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789447089.073951,0.0010000106212350874,True,1200,REACHED_1000UM,P25_TJBSV2_S_002987,8a16415705c47c7708ec35385cde6c9a53bb6b9de6edf98b902a1f40626a9f72,3621,1345,28671058.34398782,28661486.92952353,63362527.95674738,45855941.15189097,0.0010036252389956364,207,177,1.4490810191366619e-06,61.135424593741874,1375.0267131875605,9558166419786.988,0.0,0.0,874058884.1877413,4028.258195381314,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2130,DBTT_V2_P40,DBTT_V2_P40_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789448885.221384,0.0010000106212350874,True,300,REACHED_1000UM,P40_TJBSV2_S_038503,be0343fd982eda89f7f7240bf599298a0e07e06eea87570ee34fa9935dabcbfa,3621,2130,5262136.346592324,5245823.650219776,16367198.565955715,12184098.843705771,0.0010036252389956364,207,207,1.2439235885565937e-06,817.9868057702724,8.034250885476841e-27,5829623325091.763,0.0,0.0,642376813.0953218,1.167794861910435e-25,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2322,DBTT_V2_P40,DBTT_V2_P40_1200K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789449758.588812,0.0010000106212350874,True,1200,REACHED_1000UM,P40_TJBSV2_S_038503,be0343fd982eda89f7f7240bf599298a0e07e06eea87570ee34fa9935dabcbfa,3621,2322,67935235.27058633,67595559.09423347,153035248.6347749,110824264.89684175,0.0010036252389956364,207,207,1.3044511783016652e-05,1.3294028076680633,40499.50678180734,37473188976875.15,0.0,0.0,4514010266.984894,-5952583.465239013,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2131,weakT_V2_P25,weakT_V2_P25_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789450605.8243608,0.0010000106212350874,True,300,REACHED_1000UM,P25_TJBSV2_S_026704,85f8d9d2ddbe1e7c7c0c34589883b886023507089d0fe423c1ce2c4eb60d0041,3621,2131,4593709.535576808,4585878.570317977,13344784.22919239,9966905.674151681,0.0010036252389956364,207,207,1.0677654443782129e-06,224.44406191351015,5.243440586531685e-31,5320000789225.219,0.0,0.0,338575729.333958,7.621161434844728e-30,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2128,weakT_V2_P25,weakT_V2_P25_1200K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789451447.379215,0.0010000106212350874,True,1200,REACHED_1000UM,P25_TJBSV2_S_026704,85f8d9d2ddbe1e7c7c0c34589883b886023507089d0fe423c1ce2c4eb60d0041,3621,2128,5019263.431819546,4992668.429405353,14845035.33376777,10776774.97742211,0.0010036252389956364,207,207,1e-06,1.1551912302243539e-29,7.719811839478603e-33,5000000003047.014,0.0,0.0,9.444029503841518e-08,1.1246370846511199e-31,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2142,weakT_V2_P40,weakT_V2_P40_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789452354.248663,0.0010000106212350874,True,300,REACHED_1000UM,P40_TJBSV2_S_038278,98908d7eecb5916a86dc886900b6e4fd687f4d67daa2bd77e4d75ebaef06b3d6,3621,2142,6820223.511714986,6811974.371535363,17881958.18142404,13207991.794345416,0.0010036252389956364,207,207,1.3384191197434766e-06,1135.7434216503968,2.249325134397632e-25,6103845539141.763,0.0,0.0,756644742.8253185,3.2694644556206365e-24,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2143,weakT_V2_P40,weakT_V2_P40_1200K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789453168.376284,0.0010000106212350874,True,1200,REACHED_1000UM,P40_TJBSV2_S_038278,98908d7eecb5916a86dc886900b6e4fd687f4d67daa2bd77e4d75ebaef06b3d6,3621,2143,8002646.619087813,7947497.050832711,21122996.537856124,15290839.299022853,0.0010036252389956364,207,207,1.0029529556320595e-06,8.257664432735158,0.13406121869975546,5109928821110.467,0.0,0.0,71130836.05917437,1.9460241889972005,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2128,ceramic_V2_P25,ceramic_V2_P25_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789454065.47413,0.0010000106212350874,True,300,REACHED_1000UM,P25_TJBSV2_S_004127,c794af3a2912fa91d587d06ae9177ba87af1da6d30e4ad7310d5f673edf741e3,3621,2128,3646476.4412531103,3637494.6016848595,12428230.193593822,9330099.745117605,0.0010036252389956364,207,207,1.0366245056079179e-06,119.52922482224272,1.7297825234312032e-32,5209382040426.743,0.0,0.0,248903565.2123692,2.514116340398798e-31,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2119,ceramic_V2_P25,ceramic_V2_P25_1200K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789454878.219509,0.0010000106212350874,True,1200,REACHED_1000UM,P25_TJBSV2_S_004127,c794af3a2912fa91d587d06ae9177ba87af1da6d30e4ad7310d5f673edf741e3,3621,2119,1886983.785136131,1872958.2366745593,4844322.268708012,3507339.652656865,0.0010036252389956364,207,207,1e-06,1.1814570804440642e-164,1.4279109993420946e-176,5000000000000.0,0.0,0.0,2.650817295019367e-75,1.1181256930908902e-175,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
2132,ceramic_V2_P40,ceramic_V2_P40_300K_theta0,V2_SINGLE_CRACK_2D_PF_REACHED_1000UM,0,1789455812.107591,0.0010000106212350874,True,300,REACHED_1000UM,P40_TJBSV2_S_031027,d76e6a011ba83f762b5830c03c75571c851936677d213cfa1fb600a00a286cfa,3621,2132,5822487.755362433,5809363.665086323,16806112.614742704,12477994.78847432,0.0010036252389956364,207,207,1.2702255116487684e-06,906.4515094199362,2.178126706276244e-26,5906555268162.247,0.0,0.0,676124498.2708433,3.1659594805262042e-25,True,UNAVAILABLE_NO_QUALIFIED_OPERATOR,UNAVAILABLE_NO_QUALIFIED_ROUTINE
