candidate_id,Kmax_MPa_sqrt_m,DeltaK_MPa_sqrt_m,fresh_state_cycle_hazard_action,projected_median_first_passage_cycles,barrier_or_renewal_retuned
P25_TJBSV2_S_002987,1.0,0.9,1.981403318969465e-71,3.4982639522399385e+70,False
P25_TJBSV2_S_002987,1.25,1.125,5.440632191852568e-66,1.274019555297166e+65,False
P25_TJBSV2_S_002987,1.5,1.35,3.280264548985222e-58,2.1130831681681783e+57,False
P25_TJBSV2_S_002987,1.75,1.575,1.5444236810153588e-48,4.4880636646560985e+47,False
P25_TJBSV2_S_002987,2.0,1.8,5.954300940389778e-38,1.1641117697933667e+37,False
P25_TJBSV2_S_002987,2.25,2.025,9.693981223958632e-28,7.150283918921104e+26,False
P25_TJBSV2_S_002987,2.5,2.25,4.295059869496022e-19,1.613824257684395e+18,False
P25_TJBSV2_S_002987,2.75,2.475,1.0421621016346388e-12,665104957734.2516,False
P25_TJBSV2_S_002987,3.0,2.7,1.2787536019335345e-08,54204905.4260238,False
P25_TJBSV2_S_002987,3.25,2.9250000000000003,2.39524619541814e-06,289384.52418205055,False
P25_TJBSV2_S_002987,3.5,3.15,3.150896926999031e-05,21998.408599804967,False
P25_TJBSV2_S_002987,3.75,3.375,0.0001040417119851,6662.204680547703,False
P25_TJBSV2_S_002987,4.0,3.6,0.0001857032955082,3732.551857321182,False
P25_TJBSV2_S_002987,4.25,3.825,0.0002575083535412,2691.746388137358,False
P25_TJBSV2_S_002987,4.5,4.05,0.0003213810185526,2156.7769735794845,False
P25_TJBSV2_S_002987,4.75,4.275,0.000381947720088,1814.7697815819124,False
P25_TJBSV2_S_002987,5.0,4.5,0.0004421099967245,1567.816121994968,False
P25_TJBSV2_S_002987,5.25,4.7250000000000005,0.0005035231743529,1376.5943969722496,False
P25_TJBSV2_S_002987,5.5,4.95,0.0005672676952971,1221.9049071652971,False
P25_TJBSV2_S_002987,5.75,5.175,0.0006341706283727,1092.9979244521269,False
P25_TJBSV2_S_002987,6.0,5.4,0.0007049309911783,983.2837387406177,False
P25_TJBSV2_S_002987,6.25,5.625,0.0007802073500998,888.4140613021322,False
P25_TJBSV2_S_002987,6.5,5.8500000000000005,0.0008606056076541,805.417922443361,False
P25_TJBSV2_S_002987,6.75,6.075,0.0009467578551637,732.1272031485513,False
P25_TJBSV2_S_002987,7.0,6.3,0.0010392857313683,666.9457297824222,False
P25_TJBSV2_S_002987,7.25,6.525,0.0011387977361742,608.6657520838935,False
P25_TJBSV2_S_002987,7.5,6.75,0.0012460167918676,556.2904008066909,False
P25_TJBSV2_S_002987,7.75,6.9750000000000005,0.0013615702227247,509.0792740552388,False
P25_TJBSV2_S_002987,8.0,7.2,0.0014861564340325,466.4025702053166,False
P25_TJBSV2_S_002987,8.25,7.425,0.001620610607543,427.7074192490827,False
P25_TJBSV2_S_002987,8.5,7.65,0.0017656503774482,392.5732916398195,False
P25_TJBSV2_S_002987,8.75,7.875,0.001922009559737,360.6366976940377,False
P25_TJBSV2_S_002987,9.0,8.1,0.0020906267810065,331.5499384477458,False
P25_TJBSV2_S_002987,9.25,8.325000000000001,0.0022724350207366,305.023982747476,False
P25_TJBSV2_S_002987,9.5,8.55,0.0024682314274976,280.82746732654556,False
P25_TJBSV2_S_002987,9.75,8.775,0.0026788880816188,258.7443593914779,False
P25_TJBSV2_S_002987,10.0,9.0,0.0029054762891848,238.56576738900387,False
P25_TJBSV2_S_002987,10.25,9.225,0.0031490913547287,220.11021671985057,False
P25_TJBSV2_S_002987,10.5,9.45,0.0034106938646956,203.22761527639997,False
P25_TJBSV2_S_002987,10.75,9.675,0.0036912039548355,187.78349531510204,False
P25_TJBSV2_S_002987,11.0,9.9,0.0039916784799508,173.6480490704433,False
P25_TJBSV2_S_002987,11.25,10.125,0.0043133192832768,160.6992515595451,False
P25_TJBSV2_S_002987,11.5,10.35,0.0046573209338819,148.82959332205508,False
P25_TJBSV2_S_002987,11.75,10.575,0.0050247565470171,137.94642070199745,False
P25_TJBSV2_S_002987,12.0,10.8,0.0054166179523839,127.9667841913929,False
P25_TJBSV2_S_002987,12.25,11.025,0.0058339399757992,118.81287490706173,False
P25_TJBSV2_S_002987,12.5,11.25,0.006277868714892,110.41122585371852,False
P25_TJBSV2_S_002987,12.75,11.475,0.0067496131115752,102.69435730638097,False
P25_TJBSV2_S_002987,13.0,11.7,0.0072503359166674,95.6020781004778,False
P25_TJBSV2_S_002987,13.25,11.925,0.0077810816191776,89.08108338711872,False
P25_TJBSV2_S_002987,13.5,12.15,0.0083427887459495,83.08339113782236,False
P25_TJBSV2_S_002987,13.75,12.375,0.0089363589908318,77.564831635689,False
P25_TJBSV2_S_002987,14.0,12.6,0.0095627201456959,72.48431094911041,False
P25_TJBSV2_S_002987,14.25,12.825,0.0102228362635158,67.8038034350317,False
P25_TJBSV2_S_002987,14.5,13.05,0.0109176620438121,63.4886093541248,False
P25_TJBSV2_S_002987,14.75,13.275,0.0116480753653508,59.507442973955094,False
P25_TJBSV2_S_002987,15.0,13.5,0.0124148297812742,55.83219365644845,False
P25_TJBSV2_S_002987,15.25,13.725,0.0132185487916293,52.43746431521157,False
P25_TJBSV2_S_002987,15.5,13.95,0.0140597554747312,49.300087886001926,False
P25_TJBSV2_S_002987,15.75,14.175,0.0149389135652358,46.398767723843015,False
P25_TJBSV2_S_002987,16.0,14.4,0.0158564551671865,43.713880135980624,False
P25_TJBSV2_S_002987,16.25,14.625,0.016812781398466,41.22739504738865,False
P25_TJBSV2_S_002987,16.5,14.85,0.0178082375902783,38.922839896202845,False
P25_TJBSV2_S_002987,16.75,15.075,0.0188430767548021,36.785244234771696,False
P25_TJBSV2_S_002987,17.0,15.3,0.0199174286984666,34.80103737553765,False
P25_TJBSV2_S_002987,17.25,15.525,0.0210312869010608,32.95790618143206,False
P25_TJBSV2_S_002987,17.5,15.75,0.0221845154662922,31.24463915441971,False
P25_TJBSV2_S_002987,17.75,15.975,0.0233768698655464,29.650983409952943,False
P25_TJBSV2_S_002987,18.0,16.2,0.0246080212391276,28.16753016523803,False
P25_TJBSV2_S_002987,18.25,16.425,0.0258775747889703,26.785631428466868,False
P25_TJBSV2_S_002987,18.5,16.650000000000002,0.0271850766424013,25.497341415577345,False
P25_TJBSV2_S_002987,18.75,16.875,0.0285300086049505,24.295372292305245,False
P25_TJBSV2_S_002987,19.0,17.1,0.0299117747514916,23.1730543011454,False
P25_TJBSV2_S_002987,19.25,17.325,0.031329686379193,22.124293622686395,False
P25_TJBSV2_S_002987,19.5,17.55,0.0327829517071817,21.143525657822245,False
P25_TJBSV2_S_002987,19.75,17.775000000000002,0.0342706742529331,20.225665110765057,False
P25_TJBSV2_S_002987,20.0,18.0,0.0357918603892602,19.366056221205316,False
P25_TJBSV2_S_002987,20.25,18.225,0.0373454336671782,18.560426603617973,False
P25_TJBSV2_S_002987,20.5,18.45,0.0389302519484031,17.80484702433005,False
P25_TJBSV2_S_002987,20.75,18.675,0.0405451233202062,17.09569792366385,False
P25_TJBSV2_S_002987,21.0,18.9,0.0421888177872184,16.42964218755478,False
P25_TJBSV2_S_002987,21.25,19.125,0.0438600733539517,15.80360285689065,False
P25_TJBSV2_S_002987,21.5,19.35,0.0455575968605663,15.214744155215037,False
P25_TJBSV2_S_002987,21.75,19.575,0.0472800613779417,14.660454330191056,False
P25_TJBSV2_S_002987,22.0,19.8,0.0490261027446479,14.13832921148549,False
P25_TJBSV2_S_002987,22.25,20.025,0.0507943177676879,13.64615592889959,False
P25_TJBSV2_S_002987,22.5,20.25,0.052583265820618,13.181896744955704,False
P25_TJBSV2_S_002987,22.75,20.475,0.0543914744001107,12.743673309185631,False
P25_TJBSV2_S_002987,23.0,20.7,0.0562174480581977,12.329751785288828,False
P25_TJBSV2_S_002987,23.25,20.925,0.0580596793259005,11.938529261747588,False
P25_TJBSV2_S_002987,23.5,21.15,0.0599166599197358,11.568521701451372,False
P25_TJBSV2_S_002987,23.75,21.375,0.0617868906528718,11.218353492719867,False
P25_TJBSV2_S_002987,24.0,21.6,0.0636688889423012,10.886748490115746,False
P25_TJBSV2_S_002987,24.25,21.825,0.0655611934587961,10.572522310710738,False
P25_TJBSV2_S_002987,24.5,22.05,0.0674623661443137,10.27457559192606,False
P25_TJBSV2_S_002987,24.75,22.275,0.0693709923683214,9.99188791879635,False
P25_TJBSV2_S_002987,25.0,22.5,0.0712856802938179,9.723512179486866,False
P25_TJBSV2_S_002987,25.25,22.725,0.0732050605263697,9.46856918874155,False
P25_TJBSV2_S_002987,25.5,22.95,0.07512778685726,9.226242507008749,False
P25_TJBSV2_S_002987,25.75,23.175,0.0770525384841212,8.995773457908689,False
P25_TJBSV2_S_002987,26.0,23.4,0.0789780236288716,8.776456395226312,False
P25_TJBSV2_S_002987,26.25,23.625,0.0809029840924748,8.567634288590078,False
P25_TJBSV2_S_002987,26.5,23.85,0.0828262000679381,8.368694688291768,False
P25_TJBSV2_S_002987,26.75,24.075,0.0847464945046714,8.179066103102793,False
P25_TJBSV2_S_002987,27.0,24.3,0.0866627364589461,7.998214790832304,False
P25_TJBSV2_S_002987,27.25,24.525,0.0885738431213307,7.825641929191829,False
P25_TJBSV2_S_002987,27.5,24.75,0.0904787805084736,7.660881111179759,False
P25_TJBSV2_S_002987,27.75,24.975,0.0923765630682413,7.503496098332831,False
P25_TJBSV2_S_002987,28.0,25.2,0.0942662526154015,7.353078767095242,False
P25_TJBSV2_S_002987,28.25,25.425,0.0961469570606088,7.209247195654888,False
P25_TJBSV2_S_002987,28.5,25.65,0.0980178293238414,7.07164385644426,False
P25_TJBSV2_S_002987,28.75,25.875,0.0998780666698182,6.939933898113834,False
P25_TJBSV2_S_002987,29.0,26.1,0.1017269105192839,6.813803515919696,False
P25_TJBSV2_S_002987,29.25,26.325,0.1035636466287024,6.692958418556124,False
P25_TJBSV2_S_002987,29.5,26.55,0.1053876054295936,6.5771224019604135,False
P25_TJBSV2_S_002987,29.75,26.775,0.1071981622922078,6.466036037730934,False
P25_TJBSV2_S_002987,30.0,27.0,0.108994737517599,6.359455477820891,False
