mesh,h_m,delta_a_over_physical_crack_length,state,physical_p0_x_m,physical_p0_y_m,physical_p1_x_m,physical_p1_y_m,physical_crack_length_m,selected_element_count,selected_element_ids,selected_element_area_m2,represented_intersection_length_sum_m,maximum_normal_support_distance_m,endpoint_support_overshoot_m,support_fingerprint,new_support_vs_base,removed_support_vs_base,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,mechanical_fingerprint,git_sha
coarse,0.0002,0.025,base,0.0005,0.0,0.002,0.0,0.0015,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.003000000000002893,0.00044061700551187966,0.00010022996559262698,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.025,minus,0.0005,0.0,0.0019625,0.0,0.0014624999999999998,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.002925000000002967,0.00044061700551187966,0.00013772996559262719,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.025,plus,0.0005,0.0,0.0020375000000000002,0.0,0.0015375000000000002,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.003075000000002818,0.00044061700551187966,6.272996559262677e-05,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.05,base,0.0005,0.0,0.002,0.0,0.0015,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.003000000000002893,0.00044061700551187966,0.00010022996559262698,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.05,minus,0.0005,0.0,0.001925,0.0,0.001425,16,1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.536858063076376e-07,0.0028500000000024,0.00044061700551187966,1.6686497975840382e-05,a3e1a7f55ceefa6168735f8ffcde3ed45f3ac3d101d87ba491c06ef176bb7745,,1678 1680,1816768.10550782,4.403423846855707e-12,7.267072422031235,05fd257befbf3c805ed0797cfc2fbf17c19f6995791c6c74d3cd54562e3d4060,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.05,plus,0.0005,0.0,0.002075,0.0,0.001575,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.0031500000000027426,0.00044061700551187966,2.5229965592627e-05,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.1,base,0.0005,0.0,0.002,0.0,0.0015,18,1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.93038920947752e-07,0.003000000000002893,0.00044061700551187966,0.00010022996559262698,f38eb48eef38bcd59343d86353327923c52de77777272e3df01c302d516e7b2a,,,1814753.6506928545,4.408311837226877e-12,7.259014602771449,2a309d390b2bec823a36ea3b1e14fd5c21551f2c4ac4493cba410163bd38b861,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.1,minus,0.0005,0.0,0.00185,0.0,0.00135,16,1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,5.536858063076376e-07,0.00270000000000255,0.00044061700551187966,9.168649797584036e-05,a3e1a7f55ceefa6168735f8ffcde3ed45f3ac3d101d87ba491c06ef176bb7745,,1678 1680,1816768.10550782,4.403423846855707e-12,7.267072422031235,05fd257befbf3c805ed0797cfc2fbf17c19f6995791c6c74d3cd54562e3d4060,c7154cf97e512377fd4404f9278aa9669dd261ac
coarse,0.0002,0.1,plus,0.0005,0.0,0.00215,0.0,0.00165,20,1583 1585 1678 1680 1775 1777 1870 1872 1967 1969 2062 2064 2159 2161 2254 2256 2351 2353 2446 2448,6.307174349648825e-07,0.003300000000003208,0.00044061700551187966,9.967814937890526e-05,c060a1108508f08f501ec5e2fc7c9b708135564e3d6c72083534ec8fb45c0007,1583 1585,,1811792.9200326065,4.415515653883903e-12,7.247171680130437,70b89f30bd98cb2d6016d166f5d7c509d07638142714b1fdd09b87e8e3fce7c3,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.025,base,0.0005,0.0,0.002,0.0,0.0015,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.0030000000000030393,0.00029771694356909336,8.84404286900101e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,,,1824486.208891853,4.384796092736156e-12,7.297944835567417,cb471683c02f8ef78fb5b800f08917f2d1db4e6dae88b758fb4411dae3eb93f1,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.025,minus,0.0005,0.0,0.0019625,0.0,0.0014624999999999998,24,3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.719523334455296e-07,0.0029250000000026794,0.00029771694356909336,1.8337896426974098e-05,647e0e2f77d0e18789404e7f3abfd609df334ceac2c4a215b47b604aa730e5b0,,3670 3672,1825416.426560378,4.382561635579425e-12,7.301665706241547,d65e39d13cea5da80aa30f392ed6dbfba275e9a19f228d69063727304809700f,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.025,plus,0.0005,0.0,0.0020375000000000002,0.0,0.0015375000000000002,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.003075000000002965,0.00029771694356909336,5.094042869000989e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,,,1824486.208891853,4.384796092736156e-12,7.297944835567417,cb471683c02f8ef78fb5b800f08917f2d1db4e6dae88b758fb4411dae3eb93f1,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.05,base,0.0005,0.0,0.002,0.0,0.0015,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.0030000000000030393,0.00029771694356909336,8.84404286900101e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,,,1824486.208891853,4.384796092736156e-12,7.297944835567417,cb471683c02f8ef78fb5b800f08917f2d1db4e6dae88b758fb4411dae3eb93f1,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.05,minus,0.0005,0.0,0.001925,0.0,0.001425,24,3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.719523334455296e-07,0.0028500000000027553,0.00029771694356909336,5.583789642697387e-05,647e0e2f77d0e18789404e7f3abfd609df334ceac2c4a215b47b604aa730e5b0,,3670 3672,1825416.426560378,4.382561635579425e-12,7.301665706241547,d65e39d13cea5da80aa30f392ed6dbfba275e9a19f228d69063727304809700f,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.05,plus,0.0005,0.0,0.002075,0.0,0.001575,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.003150000000002889,0.00029771694356909336,1.344042869001012e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,,,1824486.208891853,4.384796092736156e-12,7.297944835567417,cb471683c02f8ef78fb5b800f08917f2d1db4e6dae88b758fb4411dae3eb93f1,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.1,base,0.0005,0.0,0.002,0.0,0.0015,26,3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.8985908577361614e-07,0.0030000000000030393,0.00029771694356909336,8.84404286900101e-05,9ab7117ae6018c2ace5a93c87435a30cb5397d0ece8be40ab07916d9882cbe59,,,1824486.208891853,4.384796092736156e-12,7.297944835567417,cb471683c02f8ef78fb5b800f08917f2d1db4e6dae88b758fb4411dae3eb93f1,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.1,minus,0.0005,0.0,0.00185,0.0,0.00135,22,3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,3.5142812777967006e-07,0.002700000000002458,0.00029771694356909336,2.1117674678891498e-05,69e18ad8859423802a449d02d052e088461e4613d2cf4b35abe1412cb8366f8a,,3670 3672 3815 3817,1827001.1892614367,4.378760149156767e-12,7.308004757045809,fc9333a2a1544d6721d11f8877f437d9b8412d279762928d9872897fdd77dd24,c7154cf97e512377fd4404f9278aa9669dd261ac
medium,0.00013333333333333334,0.1,plus,0.0005,0.0,0.00215,0.0,0.00165,28,3527 3529 3670 3672 3815 3817 3958 3960 4103 4105 4246 4248 4391 4393 4534 4536 4679 4681 4822 4824 4967 4969 5110 5112 5255 5257 5398 5400,4.072435578254668e-07,0.003300000000003161,0.00029771694356909336,4.18595912490367e-05,528e5d4a9a41d7c764126295c6d1f965f1ba4e9576c14cfa600aa0e39eb01e4f,3527 3529,,1823102.7563646054,4.38812347360637e-12,7.292411025458408,3c5a3251758f664831aaaae8447ba78f13eccbf21576b6687b54702287e6f1dd,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.025,base,0.0005,0.0,0.002,0.0,0.0015,34,6623 6625 6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.889020871091916e-07,0.0030000000000030293,0.00023269238626472054,5.133169625834129e-05,c07bcf2139003705559348882ee66bc5d79513d71f597cdffa80defc3994d2c4,,,1829881.1214010555,4.371868700342003e-12,7.319524485604377,0c6e608817c0cfa1a213ef98ac34df3974de9e85027189eb1728f7eba89af979,c7154cf97e512377fd4404f9278aa9669dd261ac
fine,0.0001,0.025,minus,0.0005,0.0,0.0019625,0.0,0.0014624999999999998,32,6814 6816 7007 7009 7198 7200 7391 7393 7582 7584 7775 7777 7966 7968 8159 8161 8350 8352 8543 8545 8734 8736 8927 8929 9118 9120 9311 9313 9502 9504 9695 9697,2.7822099394621136e-07,0.0029250000000027795,0.00023269238626472054,8.785485436509002e-06,c0e8bc054d02db59597544f17a3fecb114180994f9b61dc8dc26b8fdd90e7dc8,,6623 6625,1830713.99858587,4.369879733360633e-12,7.322855994343601,2834189420f971cb8ae02668e6e1b7354068b8bd9269cf5311aeb700299db7f2,c7154cf97e512377fd4404f9278aa9669dd261ac
