mesh,h_m,boundary_segments,d_over_R,R_over_W,d_over_W,radius_m,center_x_m,matched_parent_nodes,matched_parent_elements,same_opening_void_reaction_N_per_m,same_opening_control_reaction_N_per_m,same_opening_reaction_relative_change,same_opening_void_compliance_m2_per_N,same_opening_control_compliance_m2_per_N,same_opening_void_energy_J_per_m,same_opening_control_energy_J_per_m,reaction_rescale_to_control,void_K_I_Pa_sqrt_m,control_K_I_Pa_sqrt_m,void_K_II_Pa_sqrt_m,control_K_II_Pa_sqrt_m,same_opening_KI_relative_error,same_reaction_KI_relative_error,same_reaction_annular_L2_relative,interaction_integral_status,solver_identity,git_sha,void_probe_1_sigma_yy_Pa,control_probe_1_sigma_yy_Pa,same_reaction_probe_1_relative_error,void_probe_2_sigma_yy_Pa,control_probe_2_sigma_yy_Pa,same_reaction_probe_2_relative_error,void_probe_3_sigma_yy_Pa,control_probe_3_sigma_yy_Pa,same_reaction_probe_3_relative_error
coarse,0.0002,48,8,0.00625,0.05,0.0001,0.0029000000000000002,3312,6528,3464541.9942739285,3467585.957255865,0.0008778334609318428,2.3091075279855503e-12,2.307080516132595e-12,13.858167977095516,13.870343829023408,1.0008786047295624,23876626.63108853,18608424.730241604,598409.7677185395,934251.6560864628,0.2831084294999604,0.2842357746346602,0.10838834113990069,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,307366108.75915,300534430.4162662,0.023630342952420724,559954201.5849112,263861219.8289236,1.1240187563679553,273443377.06008786,252468165.21975353,0.08403222032457225
coarse,0.0002,48,16,0.00625,0.1,0.0001,0.0037,3120,6144,3602175.3435411113,3604998.3687839494,0.0007830864133762105,2.220880228483163e-12,2.219141087350502e-12,14.408701374164437,14.419993475135605,1.000783700118291,18038420.53698536,17923491.924849566,1010777.2986322816,955864.1727721952,0.006412177527552743,0.007200902870130754,0.051764429986420925,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,263144896.75005996,262544578.2302556,0.003072031469671943,252803832.933837,251193137.93966484,0.007200902870130532,254231437.438397,248587379.0431964,0.02350601879019365
coarse,0.0002,48,32,0.00625,0.2,0.0001,0.0053,2688,5280,3755938.5706860814,3758626.824308507,0.0007152222734748692,2.1299602880721962e-12,2.1284368930325503e-12,15.023754282744397,15.03450729723393,1.0007157341825041,17339528.36210664,17338017.883220747,706399.4507792013,699121.7604890727,8.711946752315569e-05,0.0008029160044080719,0.0018602059364861763,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,250188118.62047678,250226973.187253,0.0005603457532610268,247911165.757138,247889569.7498169,0.0008029160044080719,246467578.62507787,246361461.3715007,0.0011467805187765912
coarse,0.0002,48,64,0.00625,0.4,0.0001,0.0085,2256,4416,3794705.0986843198,3797313.3437573877,0.0006868659067484906,2.1082007144043203e-12,2.1067526632090133e-12,15.178820394737224,15.189253375029367,1.000687338015798,15937795.26781814,15940008.090233762,1523601.0736792358,1523894.697014052,0.0001388219129561108,0.0005484206852635065,0.0005918882444328395,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,238629177.88275695,238664825.9006447,0.0005378709965544459,239540020.3655997,239573278.38639846,0.0005484206852635065,242183154.6159512,242220226.92257202,0.0005341807493803863
coarse,0.0002,48,8,0.009375,0.075,0.00015,0.0033499999999999997,3168,6240,3503308.3579641148,3509737.1421977296,0.0018316996325227208,2.283555765741688e-12,2.2793729774847337e-12,14.0132334318569,14.038948568791023,1.0018350609129225,18881456.86467085,18024847.291295815,286538.9225419913,574127.3161688154,0.047523818622790204,0.04944608863770039,0.1583093834141358,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,279994697.5783012,276732526.8923841,0.013644865147120822,265174502.36513957,253144126.79777738,0.04944608863770017,568041405.6972573,247663026.2760236,1.2978149174496587
coarse,0.0002,48,16,0.009375,0.15,0.00015,0.00455,2880,5664,3715581.965779762,3721970.513151315,0.0017164422310654848,2.153094743617397e-12,2.149399080871967e-12,14.862327863119349,14.887882052605496,1.0017193934706303,18404589.526976272,18362291.69896536,1216128.604082558,1181219.8123780782,0.002303515743260709,0.004026869863819504,0.009221263214086561,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,269237728.7603042,269073641.5086394,0.0023302648339209586,254322250.3188023,253737761.39077887,0.0040268698638197264,252289099.53868163,251051168.35620487,0.006658863306156171
coarse,0.0002,48,32,0.009375,0.3,0.00015,0.00695,2400,4704,3675745.8749839785,3681787.2332657063,0.0016408765360319544,2.176429022051169e-12,2.1728577707365464e-12,14.702983499935904,14.727148933062868,1.0016435734371203,18098971.533642583,18107027.071724705,805557.007893525,801755.8231597876,0.000444884632370246,0.0011979576041856177,0.0018215037367583157,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,244280170.45682964,244387670.9598868,0.0012029735181247059,244555202.27511576,244664049.55085438,0.0011979576041858397,244505361.3565653,244609718.9654494,0.0012162432037996496
coarse,0.0002,48,64,0.009375,0.6,0.00015,0.01175,2976,5856,3801011.3972674846,3807602.935015052,0.001731151556521593,2.104702976095029e-12,2.1010594162619463e-12,15.204045589069963,15.230411740059932,1.0017341536392934,18371555.59665977,18375687.81834706,2168369.6977316663,2173036.6963848462,0.00022487439535001652,0.0015088892771921714,0.0014985984742759556,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,228340217.9190407,228390385.98513523,0.0015141134435900927,232085816.54443407,232138018.4409687,0.0015088892771926155,233008566.73992133,233060927.58388406,0.0015090981301841833
medium,0.00013333333333333334,72,8,0.00625,0.05,0.0001,0.0029000000000000002,7344,14544,3622101.5159331034,3625145.067389804,0.0008395668035684478,2.20866255813349e-12,2.2068082383693965e-12,14.488406063732178,14.500580269558432,1.000840272268271,16612285.055342738,15869624.466695625,29438.730759110927,435288.5858100781,0.04679761579775743,0.04767721080480447,0.14977473171075678,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,327409659.8077454,323505725.55670226,0.012918001687148184,286466436.40398353,273659809.76721025,0.04767721080480447,605702868.0323329,259583165.95472795,1.3353279521248993
medium,0.00013333333333333334,72,16,0.00625,0.1,0.0001,0.0037,6912,13680,3766938.638977325,3769832.984149309,0.0007677648278195948,2.1237404605485944e-12,2.122109927319568e-12,15.067754555908975,15.079331936597463,1.0007683547435668,14729224.100369835,14682720.01368938,708787.7992282447,685717.6919446609,0.0031672664626920533,0.003938054790469492,0.00945874848271578,NOT_RUN,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),d88c074881044e209521666de748701cb44baee6,262456308.1258679,262034612.48904282,0.0023789039937565093,253765242.37262562,252964037.85924688,0.003938054790469714,251435368.97240883,249894166.2417894,0.006940515319560303
