derivative,mesh,h_m,nominal_delta_m,effective_delta_m,delta_over_reference,reference_length_m,minus_energy_J_per_m,plus_energy_J_per_m,delta_squared_m2,minus_compliance_m2_per_N,plus_compliance_m2_per_N,energy_derivative_value,compliance_derivative_value,energy_compliance_relative_error,reported_units,normalization,interaction_integral_G_J_per_m2,derivative_vs_interaction_G_relative_error,interaction_contour_plateau_relative,void_force_density_f_R_J_per_m2,void_total_force_per_unit_thickness_F_R_J_per_m,void_surface_normalized_G_J_per_m2,contribution,paired_mesh_method,solver_identity,git_sha
crack,coarse,0.0002,0.0001,8.042983428361683e-05,0.05,0.002,5.970904970136159,5.834582399969622,1e-08,5.359321603684917e-12,5.484539904718268e-12,847.4627069715671,847.3497044107163,0.0001333422225204191,J/m^2,-(1/B)dU/da_eff,592.7224635528576,0.3005916854194461,0.4195914436644152,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
crack,coarse,0.0002,0.0002,0.0002159358795397879,0.1,0.002,6.156324887952637,5.7410935270512296,4e-08,5.197906313005249e-12,5.573851017967346e-12,961.4691217280964,960.2979780890762,0.0012180772242745147,J/m^2,-(1/B)dU/da_eff,592.7224635528576,0.3835241817360417,0.4195914436644152,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
crack,coarse,0.0002,0.0003,0.0003164290995547307,0.15,0.002,6.183761835597704,5.664123457870537,8.999999999999999e-08,5.174843541966249e-12,5.649594370252458e-12,821.097646294836,819.51816109068,0.0019236265154130082,J/m^2,-(1/B)dU/da_eff,592.7224635528576,0.27813401216348693,0.4195914436644152,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
void,coarse,0.0002,6.25e-06,6.25e-06,0.025,0.00025,5.901410776915958,5.9012199513649675,3.90625e-11,5.4224322301323625e-12,5.422607573303356e-12,15.266044079211838,15.266044089681484,6.858126716782374e-10,J/m^2,f_R=-d(U/B)/dR,nan,nan,nan,15.266044079211838,15.266044079211838,2.4296663766653257,elastic mechanical only; excludes capillarity and vacancy chemical potential,fixed connectivity/radial layers; smooth nodal geometry perturbation,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
void,coarse,0.0002,1.25e-05,1.25e-05,0.05,0.00025,5.901397247039387,5.901015804169936,1.5625e-10,5.422444661906744e-12,5.422795169839617e-12,15.257714778051934,15.257714762805733,9.992453632875785e-10,J/m^2,f_R=-d(U/B)/dR,nan,nan,nan,15.257714778051934,15.257714778051934,2.428340727213226,elastic mechanical only; excludes capillarity and vacancy chemical potential,fixed connectivity/radial layers; smooth nodal geometry perturbation,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
void,coarse,0.0002,2.5e-05,2.5e-05,0.1,0.00025,5.901151769608343,5.900390554971499,6.25e-10,5.422670225972478e-12,5.423369809484511e-12,15.22429273688175,15.224292673640578,4.153964548102721e-09,J/m^2,f_R=-d(U/B)/dR,nan,nan,nan,15.22429273688175,15.22429273688175,2.4230214441527704,elastic mechanical only; excludes capillarity and vacancy chemical potential,fixed connectivity/radial layers; smooth nodal geometry perturbation,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
crack,medium,0.00013333333333333334,0.0001,0.00010983159310294914,0.05,0.002,6.017109702724583,5.829556488900439,1e-08,5.318167954543075e-12,5.48926836216935e-12,853.821785359806,853.6077803453534,0.0002506436566998729,J/m^2,-(1/B)dU/da_eff,374.26745028102755,0.5616562417374853,0.569611231244523,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
crack,medium,0.00013333333333333334,0.0002,0.00018259816734886249,0.1,0.002,6.121636204861668,5.739407345754503,4e-08,5.227360615546919e-12,5.575488560447098e-12,1046.6393629704348,1045.5524413909618,0.0010384871981006614,J/m^2,-(1/B)dU/da_eff,374.26745028102755,0.6424103052852602,0.569611231244523,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
crack,medium,0.00013333333333333334,0.0003,0.0002906731185277772,0.15,0.002,6.199568026158271,5.64939057923231,8.999999999999999e-08,5.161649951251487e-12,5.6643277803512465e-12,946.3851520094829,944.3447623177962,0.0021559823580857597,J/m^2,-(1/B)dU/da_eff,374.26745028102755,0.6045294566526787,0.569611231244523,nan,nan,nan,elastic mechanical only; excludes capillarity and vacancy chemical potential,identical nodes/elements; measured P0 wake element-front extension,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
void,medium,0.00013333333333333334,6.25e-06,6.25e-06,0.025,0.00025,5.947266717486708,5.946852132064125,3.90625e-11,5.380622985330521e-12,5.380998096028428e-12,33.166833806674845,33.16683375858759,1.4498595734026382e-09,J/m^2,f_R=-d(U/B)/dR,nan,nan,nan,33.166833806674845,33.166833806674845,5.278665547039686,elastic mechanical only; excludes capillarity and vacancy chemical potential,fixed connectivity/radial layers; smooth nodal geometry perturbation,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
void,medium,0.00013333333333333334,1.25e-05,1.25e-05,0.05,0.00025,5.947364856230212,5.9465358549274265,1.5625e-10,5.380534198516232e-12,5.381284294028622e-12,33.16005211143391,33.16005194137751,5.128351492509744e-09,J/m^2,f_R=-d(U/B)/dR,nan,nan,nan,33.16005211143391,33.16005211143391,5.2775862067195485,elastic mechanical only; excludes capillarity and vacancy chemical potential,fixed connectivity/radial layers; smooth nodal geometry perturbation,arrhenius_fracture.fem.production_CST_plane_strain/scipy.sparse.linalg.spsolve(SuperLU),2d20645dc398e35b026a864202fdeb3d3107afbd
