config_pair,interval_group_id,creation_event_index,next_event_index,contains_complete_negative_excursion,negative_contact_duration_s_zero,elapsed_cycles_zero,t_zero_cohesion_s,t_finite_cohesion_s,delta_t_s,log10_ratio_abs_decade,expansion_threshold_exceeded,pre_event_p_B_zero,pre_event_p_B_finite,pre_event_K_rebond_finite_Pa_sqrt_m,max_phase_resolved_K_rebond_finite_Pa_sqrt_m,action_weighted_K_rebond_finite_Pa_sqrt_m,cleavage_action_zero,cleavage_action_finite,finite_minus_zero_cleavage_action,accepted_length_m_zero,accepted_length_m_finite
reversible,event_0_to_1,0,1,True,0.0029508000760543034,5.764655351314436,0.0057646553513144355,0.0063502244495980955,0.00058556909828366,0.04201572831339294,False,0.7079786947919507,0.3573723807472884,900000.0,900000.0,900000.0000000008,0.17347104649539996,1.475606015717356e-73,-0.17347104649539996,4.9999999999999996e-06,4.9999999999999996e-06
reversible,event_1_to_2,1,2,False,0.0,0.06301728882078614,6.301728882078615e-05,6.720191929492688e-05,4.184630474140735e-06,0.027921962051624158,False,0.2721058158233912,0.719108041681716,804474.3531744189,900000.0,804108.4142231154,2.7799499329600576e-72,4.04791237370931e-06,4.04791237370931e-06,4.9999999999999996e-06,4.9999999999999996e-06
reversible,event_2_to_3,2,3,True,0.0029500581641526535,6.312082717200262,0.006312082717200262,0.006933283449920263,0.0006212007327200007,0.0407662741174032,False,0.6912631558357359,0.6727955076698563,900000.0,900000.0,900000.0,0.1584307998582429,3.3043631999872607e-25,-0.1584307998582429,4.9999999999999996e-06,4.9999999999999996e-06
reversible,event_3_to_4,3,4,False,0.006920318171027957,14.148441904877242,0.014148441904877242,0.015599185320822592,0.0014507434159453502,0.04239330171456552,False,0.6911182242593756,0.4564846572020516,900000.0,900000.0,900000.0000000003,0.0706811957262906,5.448374452908434e-74,-0.0706811957262906,4.9999999999999996e-06,4.9999999999999996e-06
reversible,event_4_to_5,4,5,False,0.026025710153043148,52.431644786912514,0.052431644786912514,0.05794761170153205,0.005515966914619537,0.04344205951713791,False,0.40322618061769416,0.6930046654845959,900000.0,900000.0,900000.0,1.963994396595307e-08,2.0419374800135114e-72,-1.963994396595307e-08,4.9999999999999996e-06,4.9999999999999996e-06
reversible,event_5_to_6,5,6,False,0.03052885062223254,62.35182514725778,0.062351825147257775,0.06890523808008557,0.006553412932827796,0.04340306706162191,False,0.43544168478212586,0.7114002818420622,900000.0,900000.0,900000.0,1.284124479174759e-74,7.974398732466974e-25,7.974398732466974e-25,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_0_to_1,0,1,True,0.0029508000760543034,5.764655351314436,0.0057646553513144355,0.0063502244495980955,0.00058556909828366,0.04201572831339294,False,0.997047228558997,0.9731595715338839,900000.0,900000.0,900000.0000000008,0.17347104649539996,1.475606015717356e-73,-0.17347104649539996,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_1_to_2,1,2,False,0.0,0.06301728882078614,6.301728882078615e-05,6.968831687890857e-05,6.671028058122426e-06,0.043700260828854504,False,0.9110127062613423,0.9999933106663939,900000.0,900000.0,900000.0000000001,2.7799499329600576e-72,6.455840991620176e-58,6.455840991620148e-58,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_2_to_3,2,3,True,0.0029500581641526535,6.312082717200262,0.006312082717200262,0.0069333419772097645,0.0006212592600095025,0.040769940197374135,False,0.9999830799262447,0.9999952220964244,900000.0,900000.0,900000.0,0.1584307998582429,1.9565950303215094e-42,-0.1584307998582429,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_3_to_4,3,4,False,0.006920318171027957,14.148441904877242,0.014148441904877242,0.015599192360519511,0.0014507504556422694,0.04239349770562366,False,0.9942790130547735,0.9934152186637892,900000.0,900000.0,900000.0000000002,0.0706811957262906,5.447565264883572e-74,-0.0706811957262906,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_4_to_5,4,5,False,0.026025710153043148,52.431644786912514,0.052431644786912514,0.05798190332840351,0.005550258541490993,0.04369898571503082,False,0.9419867789425063,0.999989791884532,900000.0,900000.0,899999.9999999999,1.963994396595307e-08,1.13422426229175e-38,-1.963994396595307e-08,4.9999999999999996e-06,4.9999999999999996e-06
persistent,event_5_to_6,5,6,False,0.03052885062223254,62.35182514725778,0.062351825147257775,0.06890528098612236,0.006553455838864589,0.0434033374888019,False,0.9928622366664186,0.9999943157682247,900000.0,900000.0,899999.9999999999,1.284124479174759e-74,7.323448380976014e-53,7.323448380976014e-53,4.9999999999999996e-06,4.9999999999999996e-06
