stage,seed,Kmax_Pa_sqrt_m,Kmax_MPa_sqrt_m,cohesion,config_key,trajectory_name,pair_id,status,authorized
1,1720,15000000.0,15,zero,RB2_reversible_zero,D1_K15MPa_seed1720_zero,P1720_K15,PENDING,true
1,1720,15000000.0,15,finite,RB2_reversible_finite,D1_K15MPa_seed1720_finite,P1720_K15,PENDING,true
1,1720,18000000.0,18,zero,RB2_reversible_zero,D1_K18MPa_seed1720_zero,P1720_K18,PENDING,true
1,1720,18000000.0,18,finite,RB2_reversible_finite,D1_K18MPa_seed1720_finite,P1720_K18,PENDING,true
1,1720,21000000.0,21,zero,RB2_reversible_zero,D1_K21MPa_seed1720_zero,P1720_K21,PENDING,true
1,1720,21000000.0,21,finite,RB2_reversible_finite,D1_K21MPa_seed1720_finite,P1720_K21,PENDING,true
2,1001723,15000000.0,15,zero,RB2_reversible_zero,D2_K15MPa_seed1001723_zero,P1001723_K15,NOT_YET_AUTHORIZED,false
2,1001723,15000000.0,15,finite,RB2_reversible_finite,D2_K15MPa_seed1001723_finite,P1001723_K15,NOT_YET_AUTHORIZED,false
2,1001723,18000000.0,18,zero,RB2_reversible_zero,D2_K18MPa_seed1001723_zero,P1001723_K18,NOT_YET_AUTHORIZED,false
2,1001723,18000000.0,18,finite,RB2_reversible_finite,D2_K18MPa_seed1001723_finite,P1001723_K18,NOT_YET_AUTHORIZED,false
2,1001723,21000000.0,21,zero,RB2_reversible_zero,D2_K21MPa_seed1001723_zero,P1001723_K21,NOT_YET_AUTHORIZED,false
2,1001723,21000000.0,21,finite,RB2_reversible_finite,D2_K21MPa_seed1001723_finite,P1001723_K21,NOT_YET_AUTHORIZED,false
