seed,protocol,row_name,Kmax_Pa_sqrt_m,R,frequency_Hz,finite_developed_da_dN_m_per_cycle,zero_developed_da_dN_m_per_cycle,S_h_developed,both_stable_growth
1720,D1,COMPETING_REVERSIBLE,12000000.0,-0.95,1000.0,1.4861604275526836e-09,2.3019092818255114e-08,-1.190022511067047,True
1720,D1,COMPETING_REVERSIBLE,15000000.0,-0.95,1000.0,1.7104716624637634e-07,2.2827475558511557e-07,-0.12534200286643923,True
1720,D1,COMPETING_REVERSIBLE,21000000.0,-0.95,1000.0,3.6415571362613984e-07,3.871340754506353e-07,-0.026574271048372105,True
1720,D1,COMPETING_REVERSIBLE,24300000.0,-0.95,1000.0,4.112385166399122e-07,4.296855389558059e-07,-0.019056953815837732,True
1720,D2,COMPETING_REVERSIBLE,12000000.0,-0.5,1000.0,1.6956627413138252e-09,2.6277682650053202e-08,-1.190247585901405,True
1720,D2,COMPETING_REVERSIBLE,15000000.0,-0.5,1000.0,1.9566984946506943e-07,2.6149337286633524e-07,-0.12593677594792968,True
1720,D2,COMPETING_REVERSIBLE,21000000.0,-0.5,1000.0,4.1965896849304936e-07,4.469092278490586e-07,-0.027322813315269555,True
1720,D2,COMPETING_REVERSIBLE,24300000.0,-0.5,1000.0,4.755309851750381e-07,4.97584714710534e-07,-0.019688210372243064,True
1720,D5,PASSIVATION_LIMITED,12000000.0,-0.5,1000.0,1.6958392572166373e-09,2.6277682650053202e-08,-1.1902023788617737,True
1720,D5,PASSIVATION_LIMITED,15000000.0,-0.5,1000.0,1.9563935000218852e-07,2.6149337286633524e-07,-0.1260044756006598,True
1720,D5,PASSIVATION_LIMITED,21000000.0,-0.5,1000.0,4.196805877885649e-07,4.469092278490586e-07,-0.027300440627894502,True
1720,D5,PASSIVATION_LIMITED,24300000.0,-0.5,1000.0,4.755387312065797e-07,4.97584714710534e-07,-0.01968113610902707,True
1001723,D1_confirm,COMPETING_REVERSIBLE,15000000.0,-0.95,1000.0,1.5765581862026303e-07,2.1043477960013614e-07,-0.125407515484874,True
1001723,D1_confirm,COMPETING_REVERSIBLE,18000000.0,-0.95,1000.0,2.7521918014217394e-07,3.039025622384829e-07,-0.043055664897546454,True
1001723,D1_confirm,COMPETING_REVERSIBLE,21000000.0,-0.95,1000.0,3.3563427215317197e-07,3.5687903217480853e-07,-0.026654731539741655,True
1001723,D2_confirm,COMPETING_REVERSIBLE,15000000.0,-0.5,1000.0,1.80367213545545e-07,2.410573177265135e-07,-0.12596272379678228,True
1001723,D2_confirm,COMPETING_REVERSIBLE,18000000.0,-0.5,1000.0,3.161880430906316e-07,3.4958561334019476e-07,-0.04360810890093955,True
1001723,D2_confirm,COMPETING_REVERSIBLE,21000000.0,-0.5,1000.0,3.869799045442417e-07,4.119826768519628e-07,-0.027190541943890607,True
1720,D3,COMPETING_REVERSIBLE,12000000.0,-0.5,316.22776601683796,3.319243977499537e-08,8.309732880447913e-08,-0.39854788750969994,True
1720,D3,COMPETING_REVERSIBLE,15000000.0,-0.5,316.22776601683796,7.220784569972894e-07,8.269146512972921e-07,-0.05887629870256568,True
1720,D3,COMPETING_REVERSIBLE,18000000.0,-0.5,316.22776601683796,1.136780020909218e-06,1.1992063476028727e-06,-0.02321748644929242,True
1720,D3,COMPETING_REVERSIBLE,21000000.0,-0.5,316.22776601683796,1.36740283757006e-06,1.4132510673501771e-06,-0.014322845338385582,True
1720,D3,COMPETING_REVERSIBLE,24300000.0,-0.5,316.22776601683796,1.536550120910656e-06,1.5735010273703769e-06,-0.010320299682240162,True
1720,D6_conditional_persistent,COMPETING_PERSISTENT,12000000.0,-0.5,316.22776601683796,5.36984172872602e-09,8.309732880447913e-08,-1.1896255779982863,True
1720,D6_conditional_persistent,COMPETING_PERSISTENT,15000000.0,-0.5,316.22776601683796,6.202102635362845e-07,8.269146512972921e-07,-0.1249217379660838,True
1720,D6_conditional_persistent,COMPETING_PERSISTENT,18000000.0,-0.5,316.22776601683796,1.0863654862945367e-06,1.1992063476028727e-06,-0.04291795897047157,True
1720,D6_conditional_persistent,COMPETING_PERSISTENT,21000000.0,-0.5,316.22776601683796,1.3301911213386722e-06,1.4132510673501771e-06,-0.026305277419709235,True
1720,D6_conditional_persistent,COMPETING_PERSISTENT,24300000.0,-0.5,316.22776601683796,1.505357277065557e-06,1.5735010273703769e-06,-0.019227444471334846,True
1720,D1,COMPETING_REVERSIBLE,18000000.0,-0.95,1000.0,2.986284038624361e-07,3.296664327470099e-07,-0.042943615703499,True
1720,D2,COMPETING_REVERSIBLE,18000000.0,-0.5,1000.0,3.4301535405620566e-07,3.7922234429566777e-07,-0.0435803582695874,True
1720,D5,PASSIVATION_LIMITED,18000000.0,-0.5,1000.0,3.4297541005343824e-07,3.7922234429566777e-07,-0.04363093463566765,True
1001723,D3_confirm,COMPETING_REVERSIBLE,15000000.0,-0.5,316.22776601683796,6.657797422905777e-07,7.622901706666652e-07,-0.058789743081348926,True
1001723,D3_confirm,COMPETING_REVERSIBLE,18000000.0,-0.5,316.22776601683796,1.0479912334212649e-06,1.10548677538196e-06,-0.023195901871901587,True
1001723,D3_confirm,COMPETING_REVERSIBLE,21000000.0,-0.5,316.22776601683796,1.2605255151556346e-06,1.3028036153853332e-06,-0.0143273141449068,True
1001723,D5_confirm,PASSIVATION_LIMITED,15000000.0,-0.5,1000.0,1.8029655493953965e-07,2.410573177265135e-07,-0.12613289139198378,True
1001723,D5_confirm,PASSIVATION_LIMITED,18000000.0,-0.5,1000.0,3.161867465588767e-07,3.4958561334019476e-07,-0.0436098897328006,True
1001723,D5_confirm,PASSIVATION_LIMITED,21000000.0,-0.5,1000.0,3.86979920665351e-07,4.119826768519628e-07,-0.027190523851714242,True
1001723,D6_confirm,COMPETING_PERSISTENT,15000000.0,-0.5,316.22776601683796,5.720402090205706e-07,7.622901706666652e-07,-0.12469376314209753,True
1001723,D6_confirm,COMPETING_PERSISTENT,18000000.0,-0.5,316.22776601683796,1.0004524882212336e-06,1.10548677538196e-06,-0.04335708291565842,True
1001723,D6_confirm,COMPETING_PERSISTENT,21000000.0,-0.5,316.22776601683796,1.2255440820171467e-06,1.3028036153853332e-06,-0.026550017939965517,True
