protocol,row_name,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,cohesion,canonical_job_key,n_accepted_events,censored,censor_reason,cumulative_extension_m,cumulative_cycles,wall_seconds
7.1_R_panel,COMPETING_REVERSIBLE,-0.95,1000.0,0.0,1.0,900000.0,finite,94bd7b36e800ce97cf0a22da247ac047c749eaf9dcb2e36903d2c9c9601334f0,12,False,,5.9999999999999995e-05,234.3297870794024,129.95161866699345
7.1_R_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,900000.0,finite,b46374586803da44d05c02df29f145a8013b2d3bef80f50df38a3591676f6429,12,False,,5.9999999999999995e-05,204.01061682759467,162.06686187499872
7.1_R_panel,COMPETING_REVERSIBLE,-0.1,1000.0,0.0,1.0,900000.0,finite,b70aa81a209cadd92b90fc2a81e32780f995bbc706b03d714647d51a583f19ef,12,False,,5.9999999999999995e-05,170.31899424640125,190.3626519169993
7.1_R_panel,COMPETING_REVERSIBLE,0.1,1000.0,0.0,1.0,900000.0,finite,fafd9fd27252c464e4a1df2ab22c6a4b6efac2097a6311880b9c8f7d174114cb,12,False,,5.9999999999999995e-05,139.02502392374572,184.59308125000098
7.1_R_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,0.0,zero,11adf298081484d66d7f57e5f146468512da908180a855b1b8b0a4a73a3cc8c9,12,False,,5.9999999999999995e-05,184.56330872726033,146.52567029099737
7.1_R_panel,COMPETING_REVERSIBLE,0.1,1000.0,0.0,1.0,0.0,zero,4d238dfd56fd378506489e98909fd91b7897b619ceb173d139576c772981ecd9,12,False,,5.9999999999999995e-05,139.02502341617136,170.31306866600062
7.1_R_panel,COMPETING_REVERSIBLE,-0.1,1000.0,0.0,1.0,0.0,zero,5afded52213db8889753bf7eafee8c79d22de47038a45b301796c881b8fd41e3,12,False,,5.9999999999999995e-05,155.73611943643462,175.56786570799886
7.1_R_panel,COMPETING_REVERSIBLE,-0.95,1000.0,0.0,1.0,0.0,zero,89de9df3206d0251d7cbb3dcf048289b3781a94819828bcd1635f29ff2416bc5,12,False,,5.9999999999999995e-05,212.30711911827657,166.97566470900347
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,10000.0,0.0,1.0,900000.0,finite,0119326470e5cbe683c05f6a42d1f242d3c64de459e6ccb90758d94cf69e24b4,12,False,,5.9999999999999995e-05,2040.1234401372953,176.93691237500025
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,100.0,0.0,1.0,900000.0,finite,acf3a51ccf2954fb04352f35d9de8c1417678119cb8d1321ec41a24e1d6237ee,12,False,,5.9999999999999995e-05,18.504418119661942,182.8219810419978
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,100.0,0.0,1.0,0.0,zero,15eae7ce2b2c26727671304b329d0937c7f995c7c0292084d7b1418df6540d02,12,False,,5.9999999999999995e-05,18.456330872726042,121.61487237500114
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,10000.0,0.0,1.0,0.0,zero,f9ae8c11742212a4dd0b1afff0b2504c285b12950d52967a6b27b0e4ef465ab2,12,False,,5.9999999999999995e-05,1845.6330872480178,180.55197345799388
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0005,1.0,900000.0,finite,3d30034af1b472c45d28f9ab22063a56707c5a38b084acfa6dee5871095115d5,6,True,wall_time_budget_exhausted_mid_event,2.9999999999999997e-05,61.114649408708715,1804.5185977500078
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.002,1.0,900000.0,finite,7e27ff50ebf98aefef66e6e3fc08d2266e2765f5ef7b63209bbaa575cdb22274,12,False,,5.9999999999999995e-05,29.463352065048696,1260.7898593339996
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.002,1.0,0.0,zero,68d21e419727e335c786b0ef03ee6f0344bc7ea719890f7fea75405e150f88e8,12,False,,5.9999999999999995e-05,184.56330872726033,118.88290724999388
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0005,1.0,0.0,zero,86a24d658d8d04d97a2f57261ab9e8ec03287bcc37e22941229322adc08e229d,12,False,,5.9999999999999995e-05,184.5633087272605,125.5550507500011
7.4_reversible_vs_persistent,COMPETING_PERSISTENT,-0.5,1000.0,0.0,1.0,900000.0,finite,499012e9db9e705ab9b36a5838857a17cf61271fe7aceecad36deb73662dcf84,12,False,,5.9999999999999995e-05,204.05735303293676,164.67572616699908
7.4_reversible_vs_persistent,COMPETING_PERSISTENT,-0.5,1000.0,0.0,1.0,0.0,zero,d9652e0e960e5fe878f7d6df0a61ea257cd343dbaef4fba47af48048cbc79895,12,False,,5.9999999999999995e-05,184.56330872726033,150.03298029099824
7.4_reversible_vs_persistent_at_transition,COMPETING_PERSISTENT,-0.5,100.0,0.0,1.0,900000.0,finite,405ea308df2e40942e799754ce1ef58fd76c3d8368fe82a6a41fe63a026cadf0,12,False,,5.9999999999999995e-05,20.349948907479835,201.87104587499925
7.4_reversible_vs_persistent_at_transition,COMPETING_PERSISTENT,-0.5,100.0,0.0,1.0,0.0,zero,5beb4b72022143074a2e92105dd15e2029c780621a656f2d8ea62e5aa099181d,12,False,,5.9999999999999995e-05,18.456330872726042,119.9468575840001
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,0.1,900000.0,finite,13f04e3eccae7f0165d25f4f58152bbeb2665b26b3759250d016ea37cd842388,12,False,,5.9999999999999995e-05,193.77119221354909,161.37943216699932
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,0.3,900000.0,finite,781ea89d8f45711f754d58c866863111f6c85661f7233cea8b4cca1cb1e0669e,12,False,,5.9999999999999995e-05,201.37150342139807,179.79578191699693
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,1.0,900000.0,finite,ff847dca66090087e3e3a5faa0ab6a119bb50b351c62d206eccea118018bb607,12,False,,5.9999999999999995e-05,204.0106081163879,161.46872266700666
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,0.1,0.0,zero,15050cb8209c08e788e2327e82eb5dba788654b26280a908a1a7f25c0480dfd6,12,False,,5.9999999999999995e-05,184.56330872726033,147.56190829099796
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,0.3,0.0,zero,4719c647660d16d98b25477b20b2d71fcc3ad4a617c22825bc60e9487b795c85,12,False,,5.9999999999999995e-05,184.56330872726033,147.05054808300338
7.5_passivation_chemistry,PASSIVATION_LIMITED,-0.5,1000.0,0.0,1.0,0.0,zero,54dc38d52bd09adab75769859a6050ef6ae0dfb0d86a63b33ae6da2065688024,12,False,,5.9999999999999995e-05,184.56330872726033,147.76011966599617
7.6_cohesive_strength,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,450000.0,finite,34a8afa9d28567ebd109ed65c26c4f2eb1b01d0376b03ef173567b9dc181b976,12,False,,5.9999999999999995e-05,193.61572803679272,150.27660916700552
7.6_cohesive_strength,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,1800000.0,finite,7aaa06ace5c212ac772a52df896db094e1a90fcf806eaeb7828868e394f3fb9d,12,False,,5.9999999999999995e-05,231.34975190299895,201.9390980839962
