class,replicate,seed,bin_start_um,bin_end_um,bin_center_um,K_median_MPa_sqrt_m,K_mean_MPa_sqrt_m,K_p10_MPa_sqrt_m,K_p90_MPa_sqrt_m,n,complete
ceramic,1,1101,0.0,25.0,12.5,9.432584025745651,9.380853811103774,9.212367474428614,9.497609933137058,6,True
ceramic,1,1101,25.0,50.0,37.5,9.419179297503065,9.444544599954792,9.249113334807596,9.665341167553718,6,True
ceramic,1,1101,50.0,75.0,62.5,10.11967905995403,9.940107112924531,9.339117581604318,10.480563859855755,7,True
ceramic,1,1101,75.0,100.0,87.5,9.451576853491694,9.452589644054521,9.393022952961143,9.513169125710725,6,True
ceramic,1,1101,100.0,125.0,112.5,9.500593018133141,9.531936971455389,9.377975481789381,9.71724241444364,6,True
ceramic,1,1101,125.0,150.0,137.5,10.609070101721562,11.014091226997317,9.446948817773857,13.025750219877242,7,True
ceramic,1,1101,150.0,175.0,162.5,11.121428724485297,10.866591329960729,10.096901098375781,11.445179650432577,7,True
ceramic,1,1101,175.0,200.0,187.5,9.41648891273051,9.391258721088386,9.230041145308604,9.533071588059723,5,True
ceramic,1,1101,200.0,225.0,212.5,10.432008213714928,10.697643263686668,9.860363625494225,11.687330035336696,5,True
ceramic,1,1101,225.0,250.0,237.5,13.58197693290618,13.511237470201635,12.84660900130211,14.105126476396613,6,True
ceramic,1,1101,250.0,275.0,262.5,13.578622233949067,13.565529062296676,13.318311092865828,13.801270381156847,5,True
ceramic,1,1101,275.0,300.0,287.5,12.740749128330664,12.442746954953671,11.421713919436776,13.199016518221493,5,True
ceramic,1,1101,300.0,325.0,312.5,10.621420401618414,10.553473350192588,9.826531211740722,11.212468437218623,6,True
ceramic,1,1101,325.0,350.0,337.5,10.528695820755331,10.567722185457063,10.368992021453328,10.775573128739941,7,True
ceramic,1,1101,350.0,375.0,362.5,10.867841447154538,10.869780731960637,10.648120128648742,11.073465276182656,8,True
ceramic,1,1101,375.0,400.0,387.5,11.805575690526677,11.78014418066518,11.413184323401016,12.10975181486088,7,True
ceramic,1,1101,400.0,425.0,412.5,10.068636844917924,10.39938364425228,9.43223704736656,11.923726217407152,7,True
ceramic,1,1101,425.0,450.0,437.5,11.088338388782388,11.180088682241879,10.313667724544148,12.181203694837034,7,True
ceramic,1,1101,450.0,475.0,462.5,14.545244810046007,14.289280840545436,13.339255678242926,15.06806291443302,8,True
ceramic,1,1101,475.0,500.0,487.5,14.772085680362906,15.282226710886599,14.483181387877458,16.90029414309874,7,True
ceramic,1,1101,500.0,525.0,512.5,14.862491494395396,15.039193124029334,14.125349442724055,16.147814825083692,7,True
ceramic,1,1101,525.0,550.0,537.5,13.16213502837074,13.512015420585799,12.899235535310654,14.606909569246584,7,True
ceramic,1,1101,550.0,575.0,562.5,13.295454202773904,13.140346543582117,12.727184642630753,13.469112841822472,7,True
ceramic,1,1101,575.0,600.0,587.5,13.061313273414122,13.068779190615217,12.629023832101867,13.493139342579148,8,True
