protocol,row_name,R,frequency_Hz,minimum_load_hold_s,chemistry_factor,K_rebond_max_target_Pa_sqrt_m,finite_canonical_job_key,zero_canonical_job_key,n_accepted_events_finite,n_accepted_events_zero,censored_finite,censor_reason_finite,censored_zero,censor_reason_zero,cumulative_extension_m_finite,cumulative_extension_m_zero,cumulative_cycles_finite,cumulative_cycles_zero,g_all_finite,g_all_zero,S_h_all,g_post_first_event_finite,g_post_first_event_zero,S_h_post_first_event,g_late_half_finite,g_late_half_zero,S_h_late_half,mean_negative_contact_fraction_finite,mean_negative_contact_fraction_zero,contact_fraction_note,measurable_effect_ge_0p01_decade,physically_measurable_floor_only_gt_0p005_decade,numerical_uncertainty_bound_evaluated,partial_censoring_note
7.1_R_panel,COMPETING_REVERSIBLE,-0.95,1000.0,0.0,1.0,900000.0,94bd7b36e800ce97cf0a22da247ac047c749eaf9dcb2e36903d2c9c9601334f0,89de9df3206d0251d7cbb3dcf048289b3781a94819828bcd1635f29ff2416bc5,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,234.3297870794024,212.30711911827657,2.560493940946102e-07,2.826094586426653e-07,-0.04286294066339991,2.3571709578071193e-07,2.602837349277389e-07,-0.04305594838449601,2.0490406837582225e-07,2.262647832893761e-07,-0.04306638255570274,0.5326104253339418,0.44472481756879706,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.1_R_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,900000.0,b46374586803da44d05c02df29f145a8013b2d3bef80f50df38a3591676f6429,11adf298081484d66d7f57e5f146468512da908180a855b1b8b0a4a73a3cc8c9,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,204.01061682759467,184.56330872726033,2.941023410105407e-07,3.2509170112823124e-07,-0.043507401620722155,2.707466492553522e-07,2.9940994392073e-07,-0.04370312938788645,2.353103127645656e-07,2.6027721668707486e-07,-0.04379519281013499,0.44170133442366966,0.3590670394865494,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.1_R_panel,COMPETING_REVERSIBLE,-0.1,1000.0,0.0,1.0,900000.0,b70aa81a209cadd92b90fc2a81e32780f995bbc706b03d714647d51a583f19ef,5afded52213db8889753bf7eafee8c79d22de47038a45b301796c881b8fd41e3,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,170.31899424640125,155.73611943643462,3.5228014506237474e-07,3.852670800911387e-07,-0.038873734940451994,3.2431922686200053e-07,3.548315581242436e-07,-0.03904954225657429,2.818910391221391e-07,3.084552541306623e-07,-0.0391109017351812,0.1740662438337507,0.18427334106301368,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.1_R_panel,COMPETING_REVERSIBLE,0.1,1000.0,0.0,1.0,900000.0,fafd9fd27252c464e4a1df2ab22c6a4b6efac2097a6311880b9c8f7d174114cb,4d238dfd56fd378506489e98909fd91b7897b619ceb173d139576c772981ecd9,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,139.02502392374572,139.02502341617136,4.315769802198314e-07,4.315769817955003e-07,-1.585590377055504e-09,3.9748304554537695e-07,3.974830469938662e-07,-1.5826357741199542e-09,3.455322138563033e-07,3.455322151199216e-07,-1.5882237142944164e-09,0.0,0.0,pure-sinusoid reconstruction (exact model for hold=0),False,False,False,
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,100.0,0.0,1.0,900000.0,acf3a51ccf2954fb04352f35d9de8c1417678119cb8d1321ec41a24e1d6237ee,15eae7ce2b2c26727671304b329d0937c7f995c7c0292084d7b1418df6540d02,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,18.504418119661942,18.456330872726042,3.2424688856466533e-06,3.250917011282311e-06,-0.001130065723609146,2.9862820149357726e-06,2.9940994392072982e-06,-0.0011354012059556038,2.5959902239429196e-06,2.602772166870748e-06,-0.0011331012419990246,0.4890995476128099,0.48371183704627696,pure-sinusoid reconstruction (exact model for hold=0),False,False,False,
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,900000.0,b46374586803da44d05c02df29f145a8013b2d3bef80f50df38a3591676f6429,11adf298081484d66d7f57e5f146468512da908180a855b1b8b0a4a73a3cc8c9,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,204.01061682759467,184.56330872726033,2.941023410105407e-07,3.2509170112823124e-07,-0.043507401620722155,2.707466492553522e-07,2.9940994392073e-07,-0.04370312938788645,2.353103127645656e-07,2.6027721668707486e-07,-0.04379519281013499,0.44170133442366966,0.3590670394865494,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.2_frequency_panel,COMPETING_REVERSIBLE,-0.5,10000.0,0.0,1.0,900000.0,0119326470e5cbe683c05f6a42d1f242d3c64de459e6ccb90758d94cf69e24b4,f9ae8c11742212a4dd0b1afff0b2504c285b12950d52967a6b27b0e4ef465ab2,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,2040.1234401372953,1845.6330872480178,2.940998511147058e-08,3.250917011325618e-08,-0.04351107841668626,2.7074434791118057e-08,2.994099439247373e-08,-0.04370682090871938,2.3532605395753582e-08,2.6027721669262695e-08,-0.04376614145944706,0.3670463070311047,0.3627725113088944,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0,1.0,900000.0,b46374586803da44d05c02df29f145a8013b2d3bef80f50df38a3591676f6429,11adf298081484d66d7f57e5f146468512da908180a855b1b8b0a4a73a3cc8c9,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,204.01061682759467,184.56330872726033,2.941023410105407e-07,3.2509170112823124e-07,-0.043507401620722155,2.707466492553522e-07,2.9940994392073e-07,-0.04370312938788645,2.353103127645656e-07,2.6027721668707486e-07,-0.04379519281013499,0.44170133442366966,0.3590670394865494,pure-sinusoid reconstruction (exact model for hold=0),True,True,False,
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.0005,1.0,900000.0,3d30034af1b472c45d28f9ab22063a56707c5a38b084acfa6dee5871095115d5,86a24d658d8d04d97a2f57261ab9e8ec03287bcc37e22941229322adc08e229d,6,12,True,wall_time_budget_exhausted_mid_event,False,,2.9999999999999997e-05,5.9999999999999995e-05,61.114649408708715,184.5633087272605,7.363959045784226e-07,3.25091701128231e-07,0.3551054814755134,6.241808801067837e-07,2.9940994392072975e-07,0.31904424131980724,4.040383949817343e-07,2.6027721668707465e-07,0.19098648333603327,0.5127281820534717,0.35963536338657803,pure-sinusoid reconstruction; does NOT model the minimum_load_hold_s dwell segment's guaranteed K=Kmin contact -- an under-estimate for hold>0 pairs,True,True,False,"finite trajectory censored at 6/12 events (wall_time_budget_exhausted_mid_event) -- S_h values above are computed from the CENSORED partial trajectory, not the full budget"
7.3_dwell_panel,COMPETING_REVERSIBLE,-0.5,1000.0,0.002,1.0,900000.0,7e27ff50ebf98aefef66e6e3fc08d2266e2765f5ef7b63209bbaa575cdb22274,68d21e419727e335c786b0ef03ee6f0344bc7ea719890f7fea75405e150f88e8,12,12,False,,False,,5.9999999999999995e-05,5.9999999999999995e-05,29.463352065048696,184.56330872726033,2.036428165659257e-06,3.2509170112823124e-07,0.7968632120351952,1.890002897435418e-06,2.9940994392073e-07,0.8001962500457335,1.6273960442796783e-06,2.602772166870749e-07,0.796057102124591,0.36609152288104246,0.38759689922620216,pure-sinusoid reconstruction; does NOT model the minimum_load_hold_s dwell segment's guaranteed K=Kmin contact -- an under-estimate for hold>0 pairs,True,True,False,
