framework,class,T_K,Kc_first_MPa_sqrt_m,n_growth_events,case_dir,source_file,crack_extension_um,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_std_all_points_MPa_sqrt_m,K_first_rcurve_MPa_sqrt_m,K_last_rcurve_MPa_sqrt_m,is_complete,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,DBTT,300,25.90657003421668,129,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T300_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.7123899667444,129,31.299049667765793,31.44215913142248,3.974048978663367,25.90657003421668,34.81704342864045,True,25.4,0.5065700342166828,0.01994370213451507,1.994370213451507
PF sharp-front,DBTT,300,25.24215174902455,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T300_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,503.5549309506794,132,33.471567647141136,33.02965355482924,4.9685851801859515,25.24215174902455,29.87427090440408,True,25.4,-0.15784825097544797,-0.006214498069899527,-0.6214498069899527
FEM/CZM,DBTT,400,23.97773004735014,131,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T400_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.0040226293884,131,30.69840251385829,28.935458163522178,6.105643513393534,23.977730047350136,41.914616898741265,True,23.02,0.9577300473501396,0.041604259224593376,4.160425922459337
PF sharp-front,DBTT,400,23.775339921834014,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T400_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,60.94381189452865,16,27.186356471863117,27.525102344981214,2.3079214648360615,23.775339921834014,24.892478906499207,False,23.02,0.7553399218340147,0.03281233370260707,3.281233370260707
FEM/CZM,DBTT,500,22.81335656857454,134,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T500_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,503.7748857417118,134,27.28371914258633,27.089770766626394,3.7031055645111866,22.81335656857454,36.426795454147474,True,21.54,1.2733565685745418,0.05911590383354419,5.911590383354419
PF sharp-front,DBTT,500,22.61775778752535,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T500_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,60.74478491457469,16,25.754529880800504,26.286499935998783,1.6859615574451186,22.61775778752535,23.756854458538296,False,21.54,1.07775778752535,0.050035180479357004,5.0035180479357
FEM/CZM,DBTT,600,21.732310776570937,138,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T600_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.2078621007416,138,27.100218884320313,26.622406004115106,4.217594847508623,21.732310776570937,37.48565149521025,True,20.52,1.2123107765709378,0.05907947254244336,5.907947254244336
PF sharp-front,DBTT,600,21.85167406408436,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T600_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,60.85135976849787,16,24.90306786880046,25.403397759131202,1.6355647621774276,21.85167406408436,22.823724149761993,False,20.52,1.3316740640843605,0.06489639688520275,6.489639688520275
FEM/CZM,DBTT,700,21.90859385461755,127,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T700_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.0807374019883,127,27.6142021953702,28.556640426784632,4.83287625114186,21.90859385461755,35.830078029797264,True,20.04,1.8685938546175507,0.09324320631824105,9.324320631824106
PF sharp-front,DBTT,700,21.79612875327551,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T700_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,61.88476305047318,16,24.383005085915556,24.486466264575327,1.4537817686076695,21.796128753275507,24.2353435343486,False,20.04,1.7561287532755117,0.08763117531314929,8.76311753131493
FEM/CZM,DBTT,800,24.50618512796841,129,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T800_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.8301673409207,129,25.194169735769513,24.919684928718784,3.0105182061449387,24.50618512796841,28.245169183580085,True,22.86,1.6461851279684119,0.07201159789888066,7.201159789888066
PF sharp-front,DBTT,800,28.259880179077552,18,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T800_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,69.26518019299431,18,26.95875161897199,26.804391107597123,3.6969084341041705,28.259880179077552,26.17463951208201,False,22.86,5.399880179077552,0.23621523093077657,23.621523093077656
FEM/CZM,DBTT,900,39.43958345837096,137,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T900_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.9398255837452,137,29.836794553429577,29.898568869351287,3.8460536898736737,39.43958345837096,35.5348167732453,True,38.18,1.2595834583709618,0.03299066156026616,3.299066156026616
PF sharp-front,DBTT,900,50.57972359419732,15,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T900_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,54.973089749866,15,41.742945740448114,33.47543302106407,14.439823450231202,50.57972359419732,52.16191311093791,False,38.18,12.399723594197319,0.32477013080663486,32.47701308066348
FEM/CZM,DBTT,1000,48.7439891575558,141,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1000_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.9473810907668,141,34.30226391306653,34.24164327462544,5.3531637391096485,48.7439891575558,22.16619100879891,True,49.16,-0.4160108424441944,-0.008462384915463679,-0.8462384915463679
PF sharp-front,DBTT,1000,52.84607693888415,16,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T1000_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,60.907375076166,16,53.7348869969572,53.943175474387445,7.881825187094455,52.84607693888415,47.0390718048456,False,49.16,3.686076938884156,0.07498122332962076,7.498122332962076
FEM/CZM,DBTT,1100,53.24007498782175,139,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1100_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.1765201026818,139,42.09972668390793,43.54243420313422,7.128109089075605,53.24007498782175,33.718349891306424,True,51.76,1.4800749878217516,0.028594957260853007,2.8594957260853007
PF sharp-front,DBTT,1100,52.93019904592038,15,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/DBTT/T1100_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,56.88386850076304,15,59.21464535141676,58.34553195804468,4.82966747518761,52.93019904592038,64.2282054353484,False,51.76,1.1701990459203842,0.022608173221027515,2.2608173221027514
FEM/CZM,DBTT,1200,53.53778582112109,141,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T1200_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.39846966402104,141,40.53958401309496,40.50219722415972,5.4741518201561705,53.53778582112109,32.16487022573902,True,51.76,1.7777858211210926,0.034346712154580614,3.4346712154580614
