framework,class,T_K,Kc_first_MPa_sqrt_m,crack_extension_um,n_growth_events,case_dir,record_source,source_priority,source_file,rate_factor,rate_label,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_p10_all_points_MPa_sqrt_m,K_p90_all_points_MPa_sqrt_m,is_complete,first_passage_MPa_sqrt_m,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,DBTT,300.0,25.396554345268488,501.6425057734334,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T300_th45/summary.json,0.1,0.1x,129,30.599791546327516,31.510870126557982,25.478059101389118,34.40971157405575,True,25.396554345268488,24.92,0.47655434526848595,0.019123368590228167,1.9123368590228167
FEM/CZM,DBTT,400.0,23.419949029607334,502.74314811666494,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T400_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T400_th45/summary.json,0.1,0.1x,135,30.217015846837366,29.03091551591603,23.80382115409784,38.81055172168267,True,23.419949029607334,22.58,0.839949029607336,0.037198805562769534,3.7198805562769532
FEM/CZM,DBTT,600.0,21.787971908887684,503.0803636608438,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T600_th45/summary.json,0.1,0.1x,124,26.196864531100875,27.34729699622477,21.736295622077225,30.341078593497425,True,21.787971908887684,20.18,1.6079719088876843,0.07968146228382975,7.968146228382975
FEM/CZM,DBTT,700.0,23.23877536657095,502.49805489601056,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T700_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T700_th45/summary.json,0.1,0.1x,136,27.791045615241995,27.274437203981037,21.68817032245466,34.3230180488254,True,23.23877536657095,22.18,1.058775366570952,0.04773558911501136,4.773558911501136
FEM/CZM,DBTT,800.0,40.63255101055675,502.8494008527567,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T800_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T800_th45/summary.json,0.1,0.1x,134,28.782462236870735,28.890141259003414,22.97951840308115,33.87113427792943,True,40.63255101055675,39.76,0.8725510105567551,0.02194544795162865,2.194544795162865
FEM/CZM,DBTT,900.0,49.862591744602035,501.3130853494044,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T900_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T900_th45/summary.json,0.1,0.1x,125,37.836048143489066,39.38788459272682,29.697841516359187,43.49992321765532,True,49.862591744602035,50.32,-0.45740825539796504,-0.00908998917722506,-0.9089989177225061
FEM/CZM,DBTT,1000.0,52.912190923102855,500.3665475692991,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1000_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1000_th45/summary.json,0.1,0.1x,136,41.63740360888443,44.77626440816982,31.674419236339624,47.13714068027967,True,52.912190923102855,51.38,1.5321909231028528,0.029820765338708692,2.982076533870869
FEM/CZM,DBTT,1100.0,52.970565991990625,500.30890627516936,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1100_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1100_th45/summary.json,0.1,0.1x,136,41.75333474073842,44.88890579533833,31.787982705556043,47.283509833586734,True,52.970565991990625,51.36,1.610565991990626,0.031358372118197544,3.1358372118197546
FEM/CZM,DBTT,1200.0,53.053199236156644,502.38348587868336,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1200_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/DBTT/T1200_th45/summary.json,0.1,0.1x,137,41.75925961412823,44.72133730817099,33.231495621579136,46.99745119292808,True,53.053199236156644,51.34,1.7131992361566404,0.03336967736962681,3.3369677369626807
FEM/CZM,DBTT,300.0,25.90657003421668,500.7123899667444,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/DBTT/T300_th45/summary.json,1.0,1x,129,31.299049667765793,31.44215913142248,26.001167645564355,35.932037436791035,True,25.90657003421668,25.4,0.5065700342166828,0.01994370213451507,1.994370213451507
