visible_curve_label,internal_parameterization_id,campaign,branch,commit,source_table,physical_source_bundle_hash,parameterization_category,n_points
"A_NATIVE, R=0.5",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,baseline,4
"PT03, R=0.5",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,PT substitution,4
"PT08, R=0.5",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,PT substitution,4
"A_NATIVE, R=0.1",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,baseline,4
"PT03, R=0.1",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,PT substitution,4
"PT08, R=0.1",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,f99693632376a5e0308e8e112e9cd1c36a0692f6,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,PT substitution,4
"A_NATIVE, R=-0.95",A_NATIVE,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,659bf6e416abc219e854b3d753a056edc925da7f9959a7af6773821d078cea95,baseline,4
"PT03, R=-0.95",A_PT_03_oneD_v2_dbtt_TP_4895f9e5b44deea5,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,6eeb596c0fd79dbc940107eb9806b9ad9b3f15328b9858dd729a23ef1c55d60b,PT substitution,4
"PT08, R=-0.95",A_PT_08_oneD_v2_dbtt_TP_f2817e7998cb7be6,A_NATIVE/PT03/PT08 R-ratio and nominal-DeltaK study,codex/v10.2.30-R-ratio-nominal-deltaK,7e90c27a895c9f705d1071c2be39ca0ca62a73c1,1A_PT03_PT08_R_developed_points.csv,dfbf87038a937593b9ba6e78351287807ab19d36ade45f10cfaccaf179a9ae9e,PT substitution,4
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz)",D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,5
D1 zero-cohesion baseline,D1/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,zero-cohesion control,8
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz)",D2/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,5
D2 zero-cohesion baseline,D2/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,zero-cohesion control,8
"D5 (PASSIVATION_LIMITED, R=-0.50, 1000 Hz)",D5/PASSIVATION_LIMITED,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,5
D5 zero-cohesion baseline,D5/PASSIVATION_LIMITED,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,zero-cohesion control,8
"D1 (COMPETING_REVERSIBLE, R=-0.95, 1000 Hz (2nd seed))",D1_confirm/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,3
"D2 (COMPETING_REVERSIBLE, R=-0.50, 1000 Hz (2nd seed))",D2_confirm/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,3
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz)",D3/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,5
D3 zero-cohesion baseline,D3/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,zero-cohesion control,8
"D6_conditional_persistent (COMPETING_PERSISTENT, R=-0.50, 316.228 Hz)",D6_conditional_persistent/COMPETING_PERSISTENT,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,5
D6_conditional_persistent zero-cohesion baseline,D6_conditional_persistent/COMPETING_PERSISTENT,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,zero-cohesion control,8
"D3 (COMPETING_REVERSIBLE, R=-0.50, 316.228 Hz (2nd seed))",D3_confirm/COMPETING_REVERSIBLE,"Crack-rebonding Part X, PX4 stage-1 developed rate study",codex/v10.2.30-crack-rebonding-part-x,30db009ff7172728a6bdc885886f21b94cbec225,px4_stage1_rate_table.csv,d21b13aa3691f77eed7daa247e12defc0758cf1bfa6cc91a394f01505d5d9c7f,rebonding dynamic,3
