claim_id,figure_panel,manuscript_claim_text,source_data_level,source_repository_or_archive,producer_script,parameter_config_fingerprint,required_inputs,source_bundle_present,recompute_succeeded,terminal_or_censor_status,terminal_status_present,independent_recomputation_performed,actual_value,expected_value,tolerance,numerical_comparison_passed,pass_fail,final_evidence_class,notes
Fig1A,Figure 1A,Temperature-dependent monotonic first-passage response across the continuation from ceramic-like to DBTT-like behavior.,raw (per-continuation-step path),/Volumes/Data/Data/Nanopillar_calculation/Fatigue-PF,build_panelA_waterfall_3d.py,"continuation through (H0,c, chi_shield, N_sat) space",fig1AB_panel_A_waterfall_path.csv,True,True,complete (40-row continuation path),True,True,"{""regime_order"": [""ceramic"", ""peak"", ""weakT"", ""dbtt""], ""H0_eV_monotonic_nondecreasing"": true, ""n_rows"": 40}","{""regime_order"": [""ceramic"", ""peak"", ""weakT"", ""dbtt""], ""H0_eV_monotonic_nondecreasing"": true}",exact structural match (regime order + monotonicity),True,PASS,SOURCE_RESULT_LOCATED_AND_STRUCTURALLY_MATCHED,"Topology recomputed directly from the raw continuation-path array, not from README text matching."
Fig1B,Figure 1B,Cyclic first-passage response for the same barrier continuation.,raw (per-continuation-step path),/Volumes/Data/Data/Nanopillar_calculation/Fatigue-PF,build_panelB_fatigue_waterfall_3d.py,same continuation path as Panel A,fig1AB_panel_A_waterfall_path.csv; fig1AB_panel_B_fatigue_waterfall_path.csv,True,True,complete (30-row continuation path),True,True,"{""regime_order"": [""ceramic"", ""peak"", ""weakT"", ""dbtt""], ""H0_eV_monotonic"": true, ""shares_H0_eV_range_with_panel_A"": true}","{""regime_order"": [""ceramic"", ""peak"", ""weakT"", ""dbtt""], ""shares_H0_eV_range_with_panel_A"": true, ""H0_eV_monotonic"": true}",exact structural match,True,PASS,SOURCE_RESULT_LOCATED_AND_STRUCTURALLY_MATCHED,Panel B uses a different sample-point count (30 vs 40) than Panel A but spans the identical H0_eV range and regime order -- confirmed by direct array comparison.
Fig1C,Figure 1C,S-N-type initiation response across the matched entropy family.,derived (per-curve summary),/Volumes/Data/Data/Nanopillar_calculation/Fatigue-PF,build_panels_CD_entropy_family_v3.py,"axes x=log10(N_i), y=Lambda_S_ref, z=sigma_a, color=A_T",fig1CD_panelC_curve_summary_v3.csv; fig1CD_panels_CD_manifest_v3.json,True,True,complete (45 curves),True,True,"{""panel_C_axes"": {""x"": ""log10 N_i"", ""y"": ""Lambda_S_ref"", ""z"": ""sigma_a_MPa"", ""color"": ""A_T_kB""}, ""n_curves"": 45}","{""panel_C_axes"": {""x"": ""log10 N_i"", ""y"": ""Lambda_S_ref"", ""z"": ""sigma_a_MPa"", ""color"": ""A_T_kB""}}",exact manifest match,True,PASS,SOURCE_RESULT_LOCATED_AND_STRUCTURALLY_MATCHED,
Fig1D,Figure 1D,Fixed-rate strength-temperature response generated by the same entropy family.,derived (per-curve summary),/Volumes/Data/Data/Nanopillar_calculation/Fatigue-PF,build_panels_CD_entropy_family_v3.py,SAME entropy-family design table as Panel C,fig1CD_panelC_curve_summary_v3.csv; fig1CD_panelD_curve_summary_v3.csv; fig1CD_panels_CD_manifest_v3.json,True,True,complete (45 curves),True,True,"{""panel_D_axes"": {""x"": ""T_K"", ""y"": ""Lambda_S_ref"", ""z"": ""sigma_y_MPa"", ""color"": ""A_T_kB""}, ""n_curves"": 45, ""shares_exact_entropy_grid_with_panel_C"": true}","{""panel_D_axes"": {""x"": ""T_K"", ""y"": ""Lambda_S_ref"", ""z"": ""sigma_y_MPa"", ""color"": ""A_T_kB""}, ""shares_exact_entropy_grid_with_panel_C"": true}",exact manifest match + exact shared-grid array equality,True,PASS,SOURCE_RESULT_LOCATED_AND_STRUCTURALLY_MATCHED,
Fig2-ceramic-RMS,Figure 2,FEM/CZM ceramic 1x-rate first-passage RMS deviation from V1 analytic = 0.23 MPa*sqrt(m),derived (per class/temperature comparison table),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; 1x nominal rate,fig2_first_passage_comparison_with_analytic_1x.csv,True,True,"n=10/10 temperatures (300-1200K), is_complete=True",True,True,0.23,0.23,"rounds to 2 decimals, exact",True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,
Fig2-weakT-RMS,Figure 2,FEM/CZM weakT 1x-rate first-passage RMS deviation from V1 analytic = 0.23 MPa*sqrt(m),derived (per class/temperature comparison table),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; 1x nominal rate,fig2_first_passage_comparison_with_analytic_1x.csv,True,True,"n=10/10 temperatures (300-1200K), is_complete=True",True,True,0.23,0.23,"rounds to 2 decimals, exact",True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,
Fig2-peak-RMS,Figure 2,FEM/CZM peak 1x-rate first-passage RMS deviation from V1 analytic = 1.18 MPa*sqrt(m),derived (per class/temperature comparison table),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; 1x nominal rate,fig2_first_passage_comparison_with_analytic_1x.csv,True,True,"n=10/10 temperatures (300-1200K), is_complete=True",True,True,1.18,1.18,"rounds to 2 decimals, exact",True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,
Fig2-DBTT-RMS,Figure 2,FEM/CZM DBTT 1x-rate first-passage RMS deviation from V1 analytic = 1.33 MPa*sqrt(m),derived (per class/temperature comparison table),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,compare_pf_czm_first_passage_with_analytic.py,theta=45.0; 1x nominal rate,fig2_first_passage_comparison_with_analytic_1x.csv,True,True,"n=10/10 temperatures (300-1200K), is_complete=True",True,True,1.33,1.33,"rounds to 2 decimals, exact",True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,
Fig2-peak-narrow-topology,Figure 2,The narrow peak is reproduced strongly by V1 and PF/sharp-front but is attenuated in FEM/CZM.,derived (fine 5K analytic grid + coarse comparison),/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,run_v1_exp_floor_four_class_tuning.py,peak class; K_target_MPa_sqrt_m column,fig2_four_class_analytical_prediction_final_fine_grid.csv; fig2_first_passage_comparison_with_analytic_1x.csv,True,True,"complete (fine analytic grid + coarse FEM/PF/analytic comparison, no censoring applicable)",True,True,"{""fine_grid_peak_found"": true, ""coarse_grid_bump_found"": true, ""pf_sharp_front_peak_found"": true, ""pf_reproduces_peak_strongly"": true, ""fem_lower_than_analytic_at_peak_T"": true, ""fem_attenuation_percent"": 30.9, ""fem_attenuation_within_5pct_of_30_9"": true}","{""fine_grid_peak_found"": true, ""coarse_grid_bump_found"": true, ""pf_sharp_front_peak_found"": true, ""pf_reproduces_peak_strongly"": true, ""fem_lower_than_analytic_at_peak_T"": true, ""fem_attenuation_within_5pct_of_30_9"": true}",all boolean gates must hold: analytic peak exists; PF sharp-front peak exists AND reaches >50% of the analytic peak height (reproduces it strongly); FEM/CZM value at the peak temperature is strictly lower than the analytic value there (attenuated); FEM attenuation is 30.9% +/-5 percentage points,True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"Round-5 correction: the round-4 comparator only checked that a peak existed somewhere in each grid, without requiring PF to reproduce it, FEM to fall below it, or the attenuation magnitude to match. All four are now gated explicitly."
Sec2.15-saturation-fits,"Sec. 2.15 (text, not a figure)",Fitted saturation K_ss and characteristic extension per class,"RAW (per-seed binned curve, genuinely refit)",/Volumes/Data/Data/Nanopillar_calculation/Arrhenius_FEM_CZM,Rcurve_analysis pipeline,theta=45.0; 500K; 5 seeds/class; saturating fit K_R(Da)=K0+DeltaK_R[1-exp{-(Da/ellR)^p}],sec2_15_seed_binned_Rcurves_long.csv; fig3_class_mean_Rcurve_fits.csv,True,True,"complete (5/5 seeds per class, genuine curve_fit refit from raw per-seed binned R-curve, not a read of the fit-output CSV)",True,True,"{""all_classes_within_tolerance"": true, ""per_class"": {""ceramic"": {""refit_Kss"": 16.382, ""refit_ell_um"": 384.34, ""refit_p"": 1.881, ""refit_rmse"": 0.7519, ""expected_Kss"": 16.272, ""expected_ell_um"": 370.84, ""Kss_rel_error"": 0.006787989939618518, ""ell_rel_error"": 0.0364241787168021}, ""weakT"": {""refit_Kss"": 17.514, ""refit_ell_um"": 483.09, ""refit_p"": 3.198, ""refit_rmse"": 1.3265, ""expected_Kss"": 17.229, ""expected_ell_um"": 453.68, ""Kss_rel_error"": 0.016502878635561834, ""ell_rel_error"": 0.06482572209382789}, ""peak"": {""refit_Kss"": 27.457, ""refit_ell_um"": 357.97, ""refit_p"": 2.162, ""refit_rmse"": 0.9596, ""expected_Kss"": 27.433, ""expected_ell_um"": 353.84, ""Kss_rel_error"": 0.0009031865811027639, ""ell_rel_error"": 0.011676049457498209}, ""DBTT"": {""refit_Kss"": 33.651, ""refit_ell_um"": 317.36, ""refit_p"": 2.303, ""refit_rmse"": 1.0242, ""expected_Kss"": 33.729, ""expected_ell_um"": 319.3, ""Kss_rel_error"": 0.0023068035588928297, ""ell_rel_error"": 0.0060978736321423595}}}","{""classes"": [""ceramic"", ""weakT"", ""peak"", ""DBTT""], ""Kss_rel_tol"": 0.03, ""ell_rel_tol"": 0.1}","Kss within 3% relative, ell_R within 10% relative, checked by THIS comparator directly against each class's raw Kss_rel_error/ell_rel_error measurement -- not via a precomputed boolean returned by the recompute function",True,PASS,QUALIFIED_SOURCE_RESULT_VERIFIED,"Round-5 correction: the round-4 comparator target was a single precomputed boolean (all_classes_within_tolerance) produced by the recompute function itself, so a bug in how that boolean was computed could not have been caught by the comparator. The recompute function still reports the raw per-class Kss_rel_error/ell_rel_error measurements; the tolerance is now applied here, in the registry's comparator, per the architecture's intended separation of concerns. The shape exponent p and RMSE remain reported (in diagnostics) but ungated, because the manuscript claim being verified here (Kss and characteristic extension) does not depend on p -- stated explicitly, not left implicit. Corrected from an earlier pass that treated a direct read of the fit-output CSV as a refit -- this is a real scipy.optimize.curve_fit refit from the raw per-seed binned curve data."
