surface_id,fracture_context,temperature_K,rate_criterion_m_per_cycle,DeltaK_th_MPa_sqrtm,DeltaK_lo_MPa_sqrtm,DeltaK_hi_MPa_sqrtm,threshold_status,threshold_width_MPa_sqrtm,converged,lower_rate_m_per_cycle,upper_rate_m_per_cycle,lower_source,upper_source,n_DeltaK_evaluations,threshold_definition
EXP_00012,ctx_FCC_like_case29,100.0,1e-12,,,0.025,below_search_range,,False,,2.0111748800886208e-11,,measured,14,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,100.0,1e-10,10.834385936471252,10.789141622988492,11.09077037954022,bracketed,0.3016287565517288,True,9.940062915630092e-11,1.1107445750859787e-10,measured,measured,14,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,300.0,1e-12,,,0.025,below_search_range,,False,,8.22732360913024e-11,,measured,16,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,300.0,1e-10,2.9752868755273085,2.9489143663397153,3.0144027200107635,bracketed,0.06548835367104822,True,8.632308839394751e-11,1.2437606563547668e-10,measured,measured,16,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,500.0,1e-12,,,0.025,below_search_range,,False,,2.575719183891768e-10,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,500.0,1e-10,,,0.025,below_search_range,,False,,2.575719183891768e-10,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,700.0,1e-12,,,0.025,below_search_range,,False,,2.159099539315254e-06,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,700.0,1e-10,,,0.025,below_search_range,,False,,2.159099539315254e-06,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,900.0,1e-12,,,0.025,below_search_range,,False,,0.0124575360489043,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00012,ctx_FCC_like_case29,900.0,1e-10,,,0.025,below_search_range,,False,,0.0124575360489043,,measured,10,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00017,ctx_FCC_like_case29,100.0,1e-12,,20.0,,above_search_range,,False,1e-19,,upper_bound,,11,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00017,ctx_FCC_like_case29,100.0,1e-10,,20.0,,above_search_range,,False,1e-19,,upper_bound,,11,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00017,ctx_FCC_like_case29,300.0,1e-12,5.010650083033593,4.921852647816906,5.026320218660068,bracketed,0.10446757084316172,True,6.211186736286318e-13,1.007460345186436e-12,measured,measured,14,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00017,ctx_FCC_like_case29,300.0,1e-10,6.1088040437812525,5.993617733387827,6.129131039733034,bracketed,0.13551330634520653,True,6.28372305555797e-11,1.0721496743457575e-10,measured,measured,14,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
EXP_00017,ctx_FCC_like_case29,500.0,1e-12,0.2757743528071171,0.273820286402349,0.2868473957674695,bracketed,0.01302710936512047,True,9.951127021107958e-13,1.2032005556210789e-12,measured,measured,13,rate_defined_da_dN_crossing_of_simulated_V1_growth_curve
