Kmax_MPa_sqrt_m,seed,converged_80,converged_160,both_levels_converged,delta_r_80_m,delta_r_160_m,rel_change_delta_r,da_dN_80,da_dN_160,rel_change_da_dN,dlog10_da_dN,sample_doubling_usable
12.0,1720,False,False,False,4.366074951383467e-09,4.366074951383467e-09,0.0,nan,nan,nan,nan,False
12.0,2024,False,False,False,4.820191291399892e-09,4.820191291399892e-09,0.0,nan,nan,nan,nan,False
12.0,3031,False,False,False,4.495883124742663e-09,4.495883124742663e-09,0.0,nan,nan,nan,nan,False
15.0,1720,True,True,True,8.513011995760794e-09,8.227603843781242e-09,0.03352610710776346,3.2668161667278765e-08,3.1598511166572335e-08,0.03274290459318434,0.01445807578637659,True
15.0,2024,True,True,True,9.700191466282365e-09,9.175941041444396e-09,0.054045368760013826,3.4387245334146435e-08,3.348715145480249e-08,0.02617522487182642,0.01151918074043845,True
15.0,3031,True,True,True,9.151911671015897e-09,8.763408441057316e-09,0.04245050038987706,3.283704722214997e-08,3.165555681712185e-08,0.035980409475769026,0.015914140402021992,True
18.0,1720,True,True,True,1.8423909734492888e-08,1.781888496043029e-08,0.032839108678972946,5.504870639341935e-08,5.351850503626498e-08,0.027797226445584435,0.012243144280135176,True
18.0,2024,True,True,True,2.0620201145945017e-08,1.9409144822443268e-08,0.058731547521295877,6.443719893773334e-08,6.103754472995376e-08,0.05275918667825276,0.023539597974868265,True
18.0,3031,True,True,True,1.9156554850876903e-08,1.8435766399322293e-08,0.0376262045636883,5.5626493866352875e-08,5.4899368035387097e-08,0.013071574000560896,0.005714342082751678,True
24.0,1720,True,True,True,4.942102775146587e-08,4.802936122792439e-08,0.028159400701661876,6.30017980627213e-08,6.162595273084659e-08,0.021838191514867468,0.00958929785082141,True
24.0,2024,True,True,True,5.26813347974364e-08,5.0971089995677984e-08,0.032463961065801315,7.776296861097863e-08,6.987390056357176e-08,0.1014501913741637,0.04645784397315289,True
24.0,3031,True,True,True,5.36364277382933e-08,5.1864581683816935e-08,0.03303437848474326,5.923348936565138e-08,5.8629420856760866e-08,0.010198090900260241,0.004451712870101154,True
