candidate_id,temperature_K,tier,threshold_action,K_FP
A_NATIVE,300,F0_UNIT_ACTION_SCREEN_ONLY,1.0,10.1981200699314
A_NATIVE,600,F0_UNIT_ACTION_SCREEN_ONLY,1.0,6.930460399132031
A_NATIVE,900,F0_UNIT_ACTION_SCREEN_ONLY,1.0,4.707615687607211
A_NATIVE,1200,F0_UNIT_ACTION_SCREEN_ONLY,1.0,0.00511084663039846
P25_TRANSFER_V1_RANK1,300,F0_UNIT_ACTION_SCREEN_ONLY,1.0,0.0015390558462851894
P25_TRANSFER_V1_RANK1,600,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P25_TRANSFER_V1_RANK1,900,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P25_TRANSFER_V1_RANK1,1200,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P40_TRANSFER_CALIBRATED_GEN2,300,F0_UNIT_ACTION_SCREEN_ONLY,1.0,0.00683396167379876
P40_TRANSFER_CALIBRATED_GEN2,600,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P40_TRANSFER_CALIBRATED_GEN2,900,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P40_TRANSFER_CALIBRATED_GEN2,1200,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P55_TRANSFER_V1_RANK1,300,F0_UNIT_ACTION_SCREEN_ONLY,1.0,0.03191846648985862
P55_TRANSFER_V1_RANK1,600,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P55_TRANSFER_V1_RANK1,900,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
P55_TRANSFER_V1_RANK1,1200,F0_UNIT_ACTION_SCREEN_ONLY,1.0,5e-09
