candidate_id,temperature_K,G_c_active_eV,G_e_active_eV,delta_G_e_minus_c_eV,S_c_active_kB,S_e_active_kB,delta_S_e_minus_c_kB,V_c_active_m3,V_e_active_m3
P25_TJBS_S_014188,300,,,,,,,,
P25_TJBS_S_014188,450,,,,,,,,
P25_TJBS_S_014188,600,,,,,,,,
P25_TJBS_S_014188,750,,,,,,,,
P25_TJBS_S_014188,900,,,,,,,,
P25_TJBS_S_014188,1050,,,,,,,,
P25_TJBS_S_014188,1200,,,,,,,,
P25_TJBS_S_028493,300,,,,,,,,
P25_TJBS_S_028493,450,,,,,,,,
P25_TJBS_S_028493,600,,,,,,,,
P25_TJBS_S_028493,750,,,,,,,,
P25_TJBS_S_028493,900,,,,,,,,
P25_TJBS_S_028493,1050,,,,,,,,
P25_TJBS_S_028493,1200,,,,,,,,
P25_TJBS_S_039907,300,,,,,,,,
P25_TJBS_S_039907,450,,,,,,,,
P25_TJBS_S_039907,600,,,,,,,,
P25_TJBS_S_039907,750,,,,,,,,
P25_TJBS_S_039907,900,,,,,,,,
P25_TJBS_S_039907,1050,,,,,,,,
P25_TJBS_S_039907,1200,,,,,,,,
P25_TJBS_S_047409,300,,,,,,,,
P25_TJBS_S_047409,450,,,,,,,,
P25_TJBS_S_047409,600,,,,,,,,
P25_TJBS_S_047409,750,,,,,,,,
P25_TJBS_S_047409,900,,,,,,,,
P25_TJBS_S_047409,1050,,,,,,,,
P25_TJBS_S_047409,1200,,,,,,,,
P25_TJBS_S_016645,300,,,,,,,,
P25_TJBS_S_016645,450,,,,,,,,
P25_TJBS_S_016645,600,,,,,,,,
P25_TJBS_S_016645,750,,,,,,,,
P25_TJBS_S_016645,900,,,,,,,,
P25_TJBS_S_016645,1050,,,,,,,,
P25_TJBS_S_016645,1200,,,,,,,,
P25_TJBS_S_064760,300,,,,,,,,
P25_TJBS_S_064760,450,,,,,,,,
P25_TJBS_S_064760,600,,,,,,,,
P25_TJBS_S_064760,750,,,,,,,,
P25_TJBS_S_064760,900,,,,,,,,
P25_TJBS_S_064760,1050,,,,,,,,
P25_TJBS_S_064760,1200,,,,,,,,
P40_TJBS_S_037582,300,,,,,,,,
P40_TJBS_S_037582,450,,,,,,,,
P40_TJBS_S_037582,600,,,,,,,,
P40_TJBS_S_037582,750,,,,,,,,
P40_TJBS_S_037582,900,,,,,,,,
P40_TJBS_S_037582,1050,,,,,,,,
P40_TJBS_S_037582,1200,,,,,,,,
P40_TJBS_S_040211,300,,,,,,,,
P40_TJBS_S_040211,450,,,,,,,,
P40_TJBS_S_040211,600,,,,,,,,
P40_TJBS_S_040211,750,,,,,,,,
P40_TJBS_S_040211,900,,,,,,,,
P40_TJBS_S_040211,1050,,,,,,,,
P40_TJBS_S_040211,1200,,,,,,,,
P40_TJBS_S_008683,300,,,,,,,,
P40_TJBS_S_008683,450,,,,,,,,
P40_TJBS_S_008683,600,,,,,,,,
P40_TJBS_S_008683,750,,,,,,,,
P40_TJBS_S_008683,900,,,,,,,,
P40_TJBS_S_008683,1050,,,,,,,,
P40_TJBS_S_008683,1200,,,,,,,,
P40_TJBS_S_049735,300,,,,,,,,
P40_TJBS_S_049735,450,,,,,,,,
P40_TJBS_S_049735,600,,,,,,,,
P40_TJBS_S_049735,750,,,,,,,,
P40_TJBS_S_049735,900,,,,,,,,
P40_TJBS_S_049735,1050,,,,,,,,
P40_TJBS_S_049735,1200,,,,,,,,
P40_TJBS_S_053775,300,,,,,,,,
P40_TJBS_S_053775,450,,,,,,,,
P40_TJBS_S_053775,600,,,,,,,,
P40_TJBS_S_053775,750,,,,,,,,
P40_TJBS_S_053775,900,,,,,,,,
P40_TJBS_S_053775,1050,,,,,,,,
P40_TJBS_S_053775,1200,,,,,,,,
P40_TJBS_S_064772,300,,,,,,,,
P40_TJBS_S_064772,450,,,,,,,,
P40_TJBS_S_064772,600,,,,,,,,
P40_TJBS_S_064772,750,,,,,,,,
P40_TJBS_S_064772,900,,,,,,,,
P40_TJBS_S_064772,1050,,,,,,,,
P40_TJBS_S_064772,1200,,,,,,,,
