K_I_fit,K_II_fit,T_stress_Pa,fit_residual,fit_condition_number_scaled,fit_sample_elements,fit_angular_coverage_fraction,representation,h_tip_m,kappa,fit_r_inner_m,fit_r_outer_m
5680493.394510743,-5.094806458248269e-08,-124329104.06938487,0.21087161837230775,1.6533353353074092,1000,1.0,CONFORMING,1.25e-05,,7.5e-05,0.000175
5743472.328986204,-5.0455287117323956e-08,-122923068.6921137,0.2121608368402345,1.6550956826693402,920,1.0,CONFORMING,1.25e-05,,8.75e-05,0.000175
5635093.385820484,-5.231077175037827e-08,-127207627.92248453,0.19815866005842642,1.6544384813483093,840,1.0,CONFORMING,1.25e-05,,7.5e-05,0.0001625
5636294.990023832,2.2057936164565866e-08,-129464823.01467046,0.23254012611075725,1.6730872927873317,936,0.9722222222222222,V12_FIXED,1.25e-05,1e-08,7.5e-05,0.000175
5694978.831067882,2.3422930972887824e-08,-128361585.94595964,0.23150033009170415,1.6748556409869197,864,0.9722222222222222,V12_FIXED,1.25e-05,1e-08,8.75e-05,0.000175
5596726.962408014,2.0237421448331852e-08,-132339665.87627393,0.22537888070244955,1.6746599751383564,784,0.9444444444444444,V12_FIXED,1.25e-05,1e-08,7.5e-05,0.0001625
5636295.380090095,9.219086140574965e-08,-129464782.28174609,0.23253968159572946,1.6730872927873317,936,0.9722222222222222,V12_JOINT_P2,1.25e-05,2.5e-07,7.5e-05,0.000175
5694979.479532152,8.468290428659445e-08,-128361548.96379402,0.2314998697362199,1.6748556409869197,864,0.9722222222222222,V12_JOINT_P2,1.25e-05,2.5e-07,8.75e-05,0.000175
5596727.113192198,9.726044337855009e-08,-132339618.55569422,0.22537841204366352,1.6746599751383564,784,0.9444444444444444,V12_JOINT_P2,1.25e-05,2.5e-07,7.5e-05,0.0001625
5664211.889135297,-2.4553577622002956e-07,-124457867.10095869,0.21064491565645885,1.653347478953467,4040,1.0,CONFORMING,6.25e-06,,7.5e-05,0.000175
5730253.852339846,-2.277820416330665e-07,-122944703.82846963,0.21212412500722805,1.6551220877953152,3704,1.0,CONFORMING,6.25e-06,,8.75e-05,0.000175
5614941.086584013,-2.6314393338509473e-07,-127605631.48681825,0.19701513029350368,1.654256760277587,3344,1.0,CONFORMING,6.25e-06,,7.5e-05,0.0001625
5644688.800796061,-8.685194215678918e-09,-127634371.03164765,0.21863947093118144,1.665939919395353,3912,1.0,V12_FIXED,6.25e-06,1e-08,7.5e-05,0.000175
5707141.859907848,2.886386036888849e-09,-126159511.33103177,0.21875694496134876,1.6674248913164076,3592,1.0,V12_FIXED,6.25e-06,1e-08,8.75e-05,0.000175
5599061.495173966,-1.9697586389370934e-08,-130802771.02628765,0.20787836714856506,1.6675050819896855,3232,0.9722222222222222,V12_FIXED,6.25e-06,1e-08,7.5e-05,0.0001625
5644688.619553008,-9.341093491782435e-07,-127634343.1753319,0.21863935887557182,1.665939919395353,3912,1.0,V12_JOINT_P2,6.25e-06,6.25e-08,7.5e-05,0.000175
5707141.791840884,-8.641839794445214e-07,-126159485.64718957,0.21875682651343037,1.6674248913164076,3592,1.0,V12_JOINT_P2,6.25e-06,6.25e-08,8.75e-05,0.000175
5599061.208189594,-1.0068942689625494e-06,-130802739.77781193,0.20787824397627735,1.6675050819896855,3232,0.9722222222222222,V12_JOINT_P2,6.25e-06,6.25e-08,7.5e-05,0.0001625
5661013.791482509,1.8020121952096582e-06,-124413042.7132439,0.21141282221557842,1.652985572552017,16112,1.0,CONFORMING,3.125e-06,,7.5e-05,0.000175
5725107.440749456,1.7044179687483982e-06,-122923853.3121244,0.21274031989071593,1.655132971138948,14800,1.0,CONFORMING,3.125e-06,,8.75e-05,0.000175
5613022.466542738,1.9023603227445998e-06,-127470579.55968624,0.1981588024928509,1.654019658257649,13384,1.0,CONFORMING,3.125e-06,,7.5e-05,0.0001625
5650682.84812566,9.673396446225062e-07,-126114158.60267736,0.2142561305309718,1.6600230265911267,15856,1.0,V12_FIXED,3.125e-06,1e-08,7.5e-05,0.000175
5712719.644266262,8.575837282711959e-07,-124627317.74752884,0.21497382233267132,1.6619297536058084,14576,1.0,V12_FIXED,3.125e-06,1e-08,8.75e-05,0.000175
5604767.481804435,1.0636466480874084e-06,-129201130.54879823,0.20231071011311993,1.6614262038714016,13160,1.0,V12_FIXED,3.125e-06,1e-08,7.5e-05,0.0001625
5650682.7730612755,1.137514843236691e-06,-126114151.65384227,0.2142561162817456,1.6600230265911267,15856,1.0,V12_JOINT_P2,3.125e-06,1.5625e-08,7.5e-05,0.000175
5712719.591792444,1.0370533229304512e-06,-124627311.28902149,0.2149738067564555,1.6619297536058084,14576,1.0,V12_JOINT_P2,3.125e-06,1.5625e-08,8.75e-05,0.000175
5604767.385526407,1.2369373470623372e-06,-129201122.86738473,0.20231069400502932,1.6614262038714016,13160,1.0,V12_JOINT_P2,3.125e-06,1.5625e-08,7.5e-05,0.0001625
