angle_deg,phase_cells,delta_a_over_grid_spacing,outcome,mechanically_new_element_count,accepted_damage_fingerprint,trial_damage_fingerprint
0,0,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,0,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,0,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
0,0,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
0,0,4,ACCEPTED,32,2933d56dcf03c3647387de99c03382cf2add497d61b99b1323f949196a375561,aefb68fc12866014cfeebb26b5ce1853b4b3a1a13fa6d51c6fae7d0dcc29a662
0,0,8,ACCEPTED,64,2933d56dcf03c3647387de99c03382cf2add497d61b99b1323f949196a375561,8704a077e033ca4404bed381f5f9eb10344da0155a33f693a9e832b916de0ff0
0,1,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,1,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,1,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS;EVENT_BELOW_CERTIFIED_MESH_RESOLUTION,0,,
0,1,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
0,1,4,ACCEPTED,32,06703ae1ef5cd2e7e592ea4d9be3be8b19edd21aa3094ef51570752cb304e93e,6088e8ff52c412010f330f746c2d2d81f4a7d29d4f2c43056f62902d99aa7d85
0,1,8,ACCEPTED,64,06703ae1ef5cd2e7e592ea4d9be3be8b19edd21aa3094ef51570752cb304e93e,761ccf26d20cbe9aa81acaae5b171c183ca3ab70e4e09f3c49290b7161922927
0,2,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,2,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
0,2,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
0,2,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
0,2,4,ACCEPTED,32,74803449b8d035a4c84bc3da8a1b6628ec4bd01ba61e15f9f3bc5e3863678673,022ce26caec9edd0f9c603801c5b65b4f7b80bb0122025d9c89bb62b57db33c0
0,2,8,ACCEPTED,64,74803449b8d035a4c84bc3da8a1b6628ec4bd01ba61e15f9f3bc5e3863678673,461ed9c3c6c4b8eb5da97f3268802befccd2b4414060e5ef48045245397e279a
45,0,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,0,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,0,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,0,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,0,4,ACCEPTED,32,c1c3c65473a0545ca210694a57a9dcee360f90da52ddf43f59d9d01c13271022,b2461d4c5735fa18626963d53ead325c53064b0ad48cdd2b8c88882324c32aff
45,0,8,ACCEPTED,64,c1c3c65473a0545ca210694a57a9dcee360f90da52ddf43f59d9d01c13271022,ba5f7ee30efc1d2fe0f322722c46cdfec8a70e19420677f39b325c6d854a3d40
45,1,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,1,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,1,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,1,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,1,4,ACCEPTED,40,a0717b7f31a74803eb5cedb60b26c040d7e196498130574dd2baa39907f32980,116e5352b2e3279a5a65bef1ab73ad73bbf1b4fcce5ff4499fed8bac74eecd8e
45,1,8,ACCEPTED,80,a0717b7f31a74803eb5cedb60b26c040d7e196498130574dd2baa39907f32980,0a92f4c6bc3dd6a2ab6e2694c4da8d3763deb48fba039a0538cb61293392a160
45,2,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,2,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
45,2,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,2,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
45,2,4,ACCEPTED,32,7ee04441b3242dde1562dbe6abcbd2b3494a0ae33f36943e5a18301eb84c23b1,fe63dbf21efe930c96d8f5ecbeec2728dde74646aa55e16b50ba62244f680e8e
45,2,8,ACCEPTED,64,7ee04441b3242dde1562dbe6abcbd2b3494a0ae33f36943e5a18301eb84c23b1,22f7acb3d7358ba839f9ba29fb34e693655f013d64b80e4404b2b29cf0bb8aff
90,0,0.25,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
90,0,0.5,ACTIVE_TIP_NOT_MESH_VERTEX,0,,
90,0,1,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
90,0,2,INSUFFICIENT_OPPOSITE_SIDE_SEEDS,0,,
90,0,4,ACCEPTED,32,3fefa3d5aaf0de7824d814caa98c720eac0e1095bd87a2a7774bbf0511144233,c40b02b453dd4feed785d28160f28917ef05bb02f853a2aa494954893aed1b76
