h_tip_m,kappa,representation,parent_geometry_fingerprint,parent_connectivity_fingerprint,selected_element_count,support_fingerprint,reaction_N_per_m,compliance_m2_per_N,energy_J_per_m,crack_opening_displacement_m,direct_face_cod_m,cod_fit_residual_m,cod_fit_distances_m,cod_extrapolation_order,crack_opening_reference_error,conforming_extrapolated_direct_cod_error,free_residual_relative,energy_reaction_identity_relative,conditioning_diagonal_ratio,reaction_reference_error,compliance_reference_error,energy_reference_error,outside_support_stress_l2_error,KILLED_REGION_STRESS_RMS_DIAGNOSTIC,killed_energy_fraction,support_width_m,support_footprint_m,area_weighted_stress_error_whole_exterior,area_weighted_stress_error_near_tip_annulus,area_weighted_stress_error_face_adjacent_strip,root_intact_traction_rms_Pa,root_intact_normal_force_N_per_m,root_intact_shear_force_N_per_m,root_soft_traction_rms_Pa,root_soft_normal_force_N_per_m,root_soft_shear_force_N_per_m,root_jump_traction_rms_Pa,root_jump_normal_force_N_per_m,root_jump_shear_force_N_per_m,root_interface_length_m,trimmed_interior_intact_traction_rms_Pa,trimmed_interior_intact_normal_force_N_per_m,trimmed_interior_intact_shear_force_N_per_m,trimmed_interior_soft_traction_rms_Pa,trimmed_interior_soft_normal_force_N_per_m,trimmed_interior_soft_shear_force_N_per_m,trimmed_interior_jump_traction_rms_Pa,trimmed_interior_jump_normal_force_N_per_m,trimmed_interior_jump_shear_force_N_per_m,trimmed_interior_interface_length_m,active_tip_intact_traction_rms_Pa,active_tip_intact_normal_force_N_per_m,active_tip_intact_shear_force_N_per_m,active_tip_soft_traction_rms_Pa,active_tip_soft_normal_force_N_per_m,active_tip_soft_shear_force_N_per_m,active_tip_jump_traction_rms_Pa,active_tip_jump_normal_force_N_per_m,active_tip_jump_shear_force_N_per_m,active_tip_interface_length_m,mirror_sigma_xx_relative,mirror_sigma_yy_relative,mirror_sigma_xy_antisymmetry_relative,pin_reaction_relative_error,pin_energy_relative_error,pin_cod_relative_error
2.5e-05,,A_INTACT,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,184615.38461538477,4.33333333333333e-12,0.07384615384615399,nan,nan,nan,,2,,,8.19876521001361e-15,1.1275702593849224e-15,4.0000000000000115,0.17362601450583282,0.1736260145058328,0.17362601450582943,0.31538455307814756,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5e-05,,B_V11,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,24,62c50791f98acb36f5fa0213471fb3c5ddf5535baaf1f4ad4d355ee1c0086ea8,179234.2720647864,4.463432081286498e-12,0.07169370882591486,nan,nan,nan,,2,,,8.31136524297688e-15,4.258551228159622e-15,100000001.00000024,0.14881596353955723,0.1488159635395572,0.1488159635395563,0.2633354772278057,7.08436073960826e-08,8.929484285261052e-09,5.000000000000002e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5e-05,,D_CONFORMING,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,152561.35116815407,5.243792047425137e-12,0.061024540467261947,5.198747811517357e-07,5.015543686167753e-07,1.7235634177866754e-10,5e-05 7.500000000000001e-05 0.0001 0.000125,2,0.0,0.03524004856395072,9.878871667063562e-15,5.230504271490074e-15,4.0000000000000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5e-05,0.0001,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,00122cb4e34ce08fea063ae93c1e94c2e66e1ccb24683922662a2ba85cd68b5a,136015.1747468319,5.881696667221565e-12,0.054406069898733034,6.030263621234005e-07,nan,4.6390522858962526e-10,5e-05 7.500000000000001e-05 0.0001 0.000125,2,0.13789045752306447,,1.0531624537240825e-14,4.974019677511825e-15,10001.000000000024,0.10845588541677809,0.10845588541677807,0.10845588541677831,0.13250991679448224,0.001137284742327609,0.0007966314322737846,5.000000000000002e-05,0.0,0.13085974499646907,0.16567825400727443,nan,1551702653.9604084,225540.8927138061,69008.41364639965,129221.0214862105,1.5144402096608482,6.949978240028276,1551667598.8891308,225539.37827359646,69001.46366815962,0.00025000000000000006,3033093999.557234,725883.6189072765,556243.9778283796,199245.73122358933,25.224723391943087,31.37356521429442,3032992493.6915135,725858.3941838846,556212.6042631653,0.0004000000000000001,2113187441.637085,193932.33971947312,122099.43912501798,159349.84117981853,7.7744647939782,-3.346334668578139,2113090102.9220552,193924.56525467912,122102.78545968657,0.00019999999999999998,0.5685917019343141,1.2166871967328716,0.5454889244503985,8.558995130037598e-16,2.0406234574407445e-15,2.1069550200219125e-15
2.5e-05,1e-06,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,00122cb4e34ce08fea063ae93c1e94c2e66e1ccb24683922662a2ba85cd68b5a,135970.78866129834,5.883616678820557e-12,0.05438831546451975,6.034392308228334e-07,nan,4.641816660703452e-10,5e-05 7.500000000000001e-05 0.0001 0.000125,2,0.13848030655406934,,1.0596215247180515e-14,7.654835982298977e-15,1000001.0000000024,0.10874682466969965,0.10874682466969968,0.10874682466969755,0.1327460878104407,1.1380914381807058e-05,7.974935744729981e-06,5.000000000000002e-05,0.0,0.13109603224073774,0.16601522618086514,nan,1552315112.7816532,225650.1605016375,68992.53997355868,1293.170183366269,0.015141932415827161,0.0695743194376777,1552314762.0774086,225650.14535970503,68992.47039923925,0.00025000000000000006,3033882933.860196,726175.773631841,556398.446944127,1993.542896866982,0.25236211072471926,0.31398992639930495,3033881918.472426,726175.5212697303,556398.1329542006,0.0004000000000000001,2113084594.938652,193929.0823772974,122117.15290338585,1593.6790821182115,0.07772166959527597,-0.033413374774577356,2113083621.7104578,193929.00465562788,122117.18631676064,0.00019999999999999998,0.5685134764345519,1.2167798887627124,0.5454490149213792,4.708984013052091e-15,3.0619343929195817e-15,7.018378189459965e-15
2.5e-05,1e-08,C_V12,dcc6005046fe8d5db32a348e88d2b9a453631c495326a2546c4ec08589496b41,c3cabec2dcee0cd8fa4a9a11579923d0320868917f16de671673b52db0da2e02,100,00122cb4e34ce08fea063ae93c1e94c2e66e1ccb24683922662a2ba85cd68b5a,135970.34461827556,5.883635893149551e-12,0.05438813784731032,6.034433623413455e-07,nan,4.641844322235894e-10,5e-05 7.500000000000001e-05 0.0001 0.000125,2,0.1384862050107996,,1.0759859177865904e-14,1.913715245239927e-15,100000001.00000024,0.10874973525628913,0.10874973525628916,0.10874973525629217,0.13274845188517953,1.1380995133679538e-07,7.975022067493754e-08,5.000000000000002e-05,0.0,0.13109839746075921,0.16601860024757933,nan,1552321243.572134,225651.25405019647,68992.38113540641,12.93179791846652,0.00015141907545203456,0.0006957506543831857,1552321240.065076,225651.25389877742,68992.38043965575,0.00025000000000000006,3033890830.2833223,726178.6972996888,556399.9928671983,19.935537618303147,0.0025236326025221446,0.0031399247084604896,3033890820.1294117,726178.6947760561,556399.9897272736,0.0004000000000000001,2113083567.8424358,193929.04985036235,122117.33020076036,15.936808916624429,0.0007772143961025642,-0.0003341287470645097,2113083558.1101696,193929.049073148,122117.3305348891,0.00019999999999999998,0.5685126937919814,1.216780816063696,0.5454486156609094,2.9966359763090978e-15,6.379050817466423e-16,2.105499041288228e-15
1.25e-05,,A_INTACT,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,184615.38461537793,4.3333333333334904e-12,0.07384615384615245,nan,nan,nan,,2,,,1.8484236732427337e-14,1.7289410643902504e-14,4.00000000000002,0.18302767315332844,0.18302767315332838,0.18302767315331556,0.32800836203104095,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25e-05,,B_V11,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,48,342f5acce7579d3d14c9b46bb7e37315d317a3e7eef197a1c2060ce2b71a5424,181819.27319681176,4.399973588795691e-12,0.07272770927872402,nan,nan,nan,,2,,,1.803907828052966e-14,9.350103410748302e-15,100000001.00000036,0.17046384748411106,0.17046384748411106,0.17046384748407578,0.3001815142542677,1.2662887034790345e-07,1.651716108217897e-08,2.500000000000001e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25e-05,,D_CONFORMING,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,150825.66034091852,5.304137228318586e-12,0.0603302641363694,5.137586560562872e-07,5.111850118693567e-07,1.4971711163336518e-10,2.5e-05 3.7500000000000003e-05 5e-05 6.25e-05,2,0.0,0.005009441994975263,2.1520993354585332e-14,3.31243609311594e-14,4.00000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25e-05,0.0001,C_V12,eda2ace85db51cfcd7aa9eedbfa7c6d17281e7ac4722ed6ca207a4961ab97544,ecce5aad79f458402abf94c51bb823293cf003c4bedbeaf194312018a1c28224,196,728ced715b37784f1b5617cd729e28f3d904f96d82cb32b9fee25e846d154895,142134.00560292215,5.6284912017110755e-12,0.05685360224116847,5.637844307136845e-07,nan,1.766745119737829e-10,2.5e-05 3.7500000000000003e-05 5e-05 6.25e-05,2,0.08873209675916491,,2.327262417521282e-14,6.834713075356026e-15,10001.000000000042,0.05762716183937274,0.057627161839372755,0.05762716183941034,0.07258986935337758,0.0020578451237769375,0.0013599497287519187,2.500000000000001e-05,0.0,0.07031690450531003,0.09335664187876633,0.14265406500408176,2706947427.773761,293188.5165741318,135526.1015993338,222443.92781530623,4.889411855198352,12.766399494871353,2706876908.313432,293183.62716227665,135513.33519983897,0.00017500000000000003,5615695352.561077,1306413.3753549177,1039239.7883409243,362573.4529689652,44.929520835849985,54.95552928150732,5615508634.630024,1306368.445834082,1039184.832811643,0.0004000000000000001,4471252988.509993,283443.02303937485,216251.35205316794,313888.089757936,12.103685756936253,-3.6646087697475256,4471048504.159825,283430.91935361794,216255.0166619377,0.00014999999999999996,0.5718474921503194,1.2123548355025449,0.559440977383004,1.0442929170940692e-14,1.4645813732905555e-14,4.4884370551325454e-14
