matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,nominal_dU_m,nominal_dt_s,nominal_opening_rate_m_per_s,seed,target_extension_um,planned_disposition
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,3621,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,600.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,4630,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,800.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,5639,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,900.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,6648,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,950.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,7657,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1000.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,8666,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1050.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,9675,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1100.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,10684,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1150.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,11693,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1200.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,12702,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1250.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,13711,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,Peak,v913_zeroD_sobol_0242980,1300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,14720,1000.0,RERUN_CANONICAL_SOURCE
CANONICAL_SINGLE_CRACK_THETA,DBTT,v913_zeroD_sobol_0202500,300.0,15.0,rate1x,1.0,2e-07,8.4,2.3809523809523807e-08,1003621,1000.0,RERUN_CANONICAL_SOURCE
