material_class,candidate_id,temperature_K,seed,theta0_rate0p01x_seed,theta0_rate1x_seed,theta0_rate100x_seed,orientation_theta0_seed,orientation_theta15_seed,orientation_theta30_seed,orientation_theta45_seed,seed_formula
Peak,v913_zeroD_sobol_0242980,300,3621,3621,3621,3621,3621,3621,3621,3621,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,600,4630,4630,4630,4630,4630,4630,4630,4630,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,800,5639,5639,5639,5639,5639,5639,5639,5639,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,900,6648,6648,6648,6648,6648,6648,6648,6648,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,950,7657,7657,7657,7657,7657,7657,7657,7657,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1000,8666,8666,8666,8666,8666,8666,8666,8666,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1050,9675,9675,9675,9675,9675,9675,9675,9675,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1100,10684,10684,10684,10684,10684,10684,10684,10684,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1150,11693,11693,11693,11693,11693,11693,11693,11693,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1200,12702,12702,12702,12702,12702,12702,12702,12702,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1250,13711,13711,13711,13711,13711,13711,13711,13711,3621+class_index*1000000+temperature_index*1009
Peak,v913_zeroD_sobol_0242980,1300,14720,14720,14720,14720,14720,14720,14720,14720,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,300,1003621,1003621,1003621,1003621,1003621,1003621,1003621,1003621,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,600,1004630,1004630,1004630,1004630,1004630,1004630,1004630,1004630,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,800,1005639,1005639,1005639,1005639,1005639,1005639,1005639,1005639,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,900,1006648,1006648,1006648,1006648,1006648,1006648,1006648,1006648,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,950,1007657,1007657,1007657,1007657,1007657,1007657,1007657,1007657,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1000,1008666,1008666,1008666,1008666,1008666,1008666,1008666,1008666,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1050,1009675,1009675,1009675,1009675,1009675,1009675,1009675,1009675,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1100,1010684,1010684,1010684,1010684,1010684,1010684,1010684,1010684,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1150,1011693,1011693,1011693,1011693,1011693,1011693,1011693,1011693,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1200,1012702,1012702,1012702,1012702,1012702,1012702,1012702,1012702,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1250,1013711,1013711,1013711,1013711,1013711,1013711,1013711,1013711,3621+class_index*1000000+temperature_index*1009
DBTT,v913_zeroD_sobol_0202500,1300,1014720,1014720,1014720,1014720,1014720,1014720,1014720,1014720,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,300,2003621,2003621,2003621,2003621,2003621,2003621,2003621,2003621,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,600,2004630,2004630,2004630,2004630,2004630,2004630,2004630,2004630,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,800,2005639,2005639,2005639,2005639,2005639,2005639,2005639,2005639,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,900,2006648,2006648,2006648,2006648,2006648,2006648,2006648,2006648,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,950,2007657,2007657,2007657,2007657,2007657,2007657,2007657,2007657,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1000,2008666,2008666,2008666,2008666,2008666,2008666,2008666,2008666,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1050,2009675,2009675,2009675,2009675,2009675,2009675,2009675,2009675,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1100,2010684,2010684,2010684,2010684,2010684,2010684,2010684,2010684,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1150,2011693,2011693,2011693,2011693,2011693,2011693,2011693,2011693,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1200,2012702,2012702,2012702,2012702,2012702,2012702,2012702,2012702,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1250,2013711,2013711,2013711,2013711,2013711,2013711,2013711,2013711,3621+class_index*1000000+temperature_index*1009
weak-T,oneD_v2_focused_weak_T_0016,1300,2014720,2014720,2014720,2014720,2014720,2014720,2014720,2014720,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,300,3003621,3003621,3003621,3003621,3003621,3003621,3003621,3003621,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,600,3004630,3004630,3004630,3004630,3004630,3004630,3004630,3004630,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,800,3005639,3005639,3005639,3005639,3005639,3005639,3005639,3005639,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,900,3006648,3006648,3006648,3006648,3006648,3006648,3006648,3006648,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,950,3007657,3007657,3007657,3007657,3007657,3007657,3007657,3007657,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,1000,3008666,3008666,3008666,3008666,3008666,3008666,3008666,3008666,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,1050,3009675,3009675,3009675,3009675,3009675,3009675,3009675,3009675,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,1100,3010684,3010684,3010684,3010684,3010684,3010684,3010684,3010684,3621+class_index*1000000+temperature_index*1009
ceramic-like,oneD_v2_focused_ceramic_like_0018,1150,3011693,3011693,3011693,3011693,3011693,3011693,3011693,3011693,3621+class_index*1000000+temperature_index*1009
