family,candidate,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles,mode
DBTT,v913_zeroD_sobol_0202500,1.075,22.602205725129203,1720,10000000,accelerated
DBTT,v913_zeroD_sobol_0202500,1.08,22.70733226338562,1720,10000000,accelerated
DBTT,v913_zeroD_sobol_0202500,1.09,22.917585339898448,1720,10000000,accelerated
Peak-T,v913_zeroD_sobol_0242980,1.08,22.99271018225424,1720,10000000,accelerated
Peak-T,v913_zeroD_sobol_0242980,1.11,23.63139657620575,1720,10000000,accelerated
Peak-T,v913_zeroD_sobol_0242980,1.13,24.05718750550675,1720,10000000,accelerated
Peak-T,v913_zeroD_sobol_0242980,1.15,24.48297843480775,1720,10000000,accelerated
Peak-T,v913_zeroD_sobol_0242980,1.17,24.908769364108757,1720,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.1,13.973229120127668,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.12,14.227287831402716,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.14,14.481346542677763,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.15,14.608375898315288,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.16,14.73540525395281,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.18,14.98946396522786,2001726,10000000,accelerated
weak-T,v913_zeroD_sobol_0129902,1.2,15.24352267650291,2001726,10000000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.15,14.09839946064412,3001729,10000000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.175,14.404886405440733,3001729,10000000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.2,14.711373350237343,3001729,10000000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.225,15.017860295033957,3001729,10000000,accelerated
ceramic-like,v913_zeroD_sobol_0077080,1.25,15.324347239830567,3001729,10000000,accelerated
