family,parameter_option,candidate_id,fraction,deltaK_MPa_sqrt_m,seed,maximum_cycles
DBTT,v913_paper_dbtt01_0202500_persistent_sites,v913_zeroD_sobol_0202500,1.075,22.602205725129203,1720,1200
DBTT,v913_paper_dbtt01_0202500_persistent_sites,v913_zeroD_sobol_0202500,1.09,22.917585339898448,1720,500
DBTT,v913_paper_dbtt01_0202500_persistent_sites,v913_zeroD_sobol_0202500,1.125,23.653471107693352,1720,100
Peak-T,v913_paper_peak01_0242980_persistent_sites,v913_zeroD_sobol_0242980,1.11,23.63139657620575,1720,500
Peak-T,v913_paper_peak01_0242980_persistent_sites,v913_zeroD_sobol_0242980,1.13,24.05718750550675,1720,200
Peak-T,v913_paper_peak01_0242980_persistent_sites,v913_zeroD_sobol_0242980,1.15,24.48297843480775,1720,100
Peak-T,v913_paper_peak01_0242980_persistent_sites,v913_zeroD_sobol_0242980,1.17,24.908769364108757,1720,100
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,1.1,13.973229120127668,2001726,1200
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,1.15,14.608375898315288,2001726,500
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,1.16,14.73540525395281,2001726,500
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,1.18,14.98946396522786,2001726,100
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,1.2,15.24352267650291,2001726,500
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,1.15,14.09839946064412,3001729,500
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,1.175,14.404886405440733,3001729,200
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,1.2,14.711373350237343,3001729,100
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,1.225,15.017860295033957,3001729,100
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,1.25,15.324347239830567,3001729,100
